Year,Sector,Amount(RSD)
2011,Total,37976
2011,"Agriculture, Forestry and Fishing",31545
2011,Mining,57436
2011,Manufacturing Industry,32785
2011,"Electricity, Gas, Steam and Air Conditioning Supply",64837
2011,Waterworks,34950
2011,Construction,32950
2011,"Wholesale and Retail Trade, Repair of Vehicles",28475
2011,"Transport, Traffic and Storage",40915
2011,Accommodation and Catering Services,20902
2011,Information and Communications,52841
2011,Financial and Insurance Activities,71938
2011,Real Estate Business,43850
2011,"Professional, Scientific and Technical Activities",49547
2011,Administrative and Support Services,28347
2011,State Administration and Defence; Compulsory Social Security,46728
2011,Education,38152
2011,Health and Social Care,39220
2011,Art; Entertainment and Recreation,37272
2011,Other Services,26225
2012,Total,41377
2012,"Agriculture, Forestry and Fishing",35970
2012,Mining,63726
2012,Manufacturing Industry,35748
2012,"Electricity, Gas, Steam and Air Conditioning Supply",70415
2012,Waterworks,37937
2012,Construction,34713
2012,"Wholesale and Retail Trade, Repair of Vehicles",31078
2012,"Transport, Traffic and Storage",43474
2012,Accommodation and Catering Services,22832
2012,Information and Communications,59918
2012,Financial and Insurance Activities,76195
2012,Real Estate Business,44678
2012,"Professional, Scientific and Technical Activities",57321
2012,Administrative and Support Services,31186
2012,State Administration and Defence; Compulsory Social Security,50824
2012,Education,40764
2012,Health and Social Care,41456
2012,Art; Entertainment and Recreation,39468
2012,Other Services,28899
2013,Total,43932
2013,"Agriculture, Forestry and Fishing",37404
2013,Mining,68338
2013,Manufacturing Industry,37706
2013,"Electricity, Gas, Steam and Air Conditioning Supply",73787
2013,Waterworks,39494
2013,Construction,35747
2013,"Wholesale and Retail Trade, Repair of Vehicles",33614
2013,"Transport, Traffic and Storage",45917
2013,Accommodation and Catering Services,24362
2013,Information and Communications,67431
2013,Financial and Insurance Activities,79168
2013,Real Estate Business,48557
2013,"Professional, Scientific and Technical Activities",63056
2013,Administrative and Support Services,31413
2013,State Administration and Defence; Compulsory Social Security,53826
2013,Education,42757
2013,Health and Social Care,43620
2013,Art; Entertainment and Recreation,41502
2013,Other Services,32121
2014,Total,44530
2014,"Agriculture, Forestry and Fishing",37212
2014,Mining,69660
2014,Manufacturing Industry,38735
2014,"Electricity, Gas, Steam and Air Conditioning Supply",75904
2014,Waterworks,39841
2014,Construction,37493
2014,"Wholesale and Retail Trade, Repair of Vehicles",33827
2014,"Transport, Traffic and Storage",45916
2014,Accommodation and Catering Services,24885
2014,Information and Communications,78583
2014,Financial and Insurance Activities,76432
2014,Real Estate Business,47655
2014,"Professional, Scientific and Technical Activities",65143
2014,Administrative and Support Services,33507
2014,State Administration and Defence; Compulsory Social Security,53413
2014,Education,43031
2014,Health and Social Care,43445
2014,Art; Entertainment and Recreation,40613
2014,Other Services,33366
2015,Total,44432
2015,"Agriculture, Forestry and Fishing",37908
2015,Mining,71077
2015,Manufacturing Industry,41148
2015,"Electricity, Gas, Steam and Air Conditioning Supply",74715
2015,Waterworks,39551
2015,Construction,41744
2015,"Wholesale and Retail Trade, Repair of Vehicles",34606
2015,"Transport, Traffic and Storage",46392
2015,Accommodation and Catering Services,26781
2015,Information and Communications,83036
2015,Financial and Insurance Activities,77840
2015,Real Estate Business,49356
2015,"Professional, Scientific and Technical Activities",68584
2015,Administrative and Support Services,34448
2015,State Administration and Defence; Compulsory Social Security,48161
2015,Education,40217
2015,Health and Social Care,40649
2015,Art; Entertainment and Recreation,37834
2015,Other Services,33898
2016,Total,46097
2016,"Agriculture, Forestry and Fishing",39126
2016,Mining,72770
2016,Manufacturing Industry,43618
2016,"Electricity, Gas, Steam and Air Conditioning Supply",76152
2016,Waterworks,40869
2016,Construction,41697
2016,"Wholesale and Retail Trade, Repair of Vehicles",36144
2016,"Transport, Traffic and Storage",47697
2016,Accommodation and Catering Services,28124
2016,Information and Communications,88373
2016,Financial and Insurance Activities,83164
2016,Real Estate Business,51914
2016,"Professional, Scientific and Technical Activities",73659
2016,Administrative and Support Services,35825
2016,State Administration and Defence; Compulsory Social Security,48558
2016,Education,40791
2016,Health and Social Care,41551
2016,Art; Entertainment and Recreation,37225
2016,Other Services,34873
2017,Total,47893
2017,"Agriculture, Forestry and Fishing",42078
2017,Mining,75078
2017,Manufacturing Industry,45949
2017,"Electricity, Gas, Steam and Air Conditioning Supply",78423
2017,Waterworks,41787
2017,Construction,43148
2017,"Wholesale and Retail Trade, Repair of Vehicles",37810
2017,"Transport, Traffic and Storage",49095
2017,Accommodation and Catering Services,29507
2017,Information and Communications,93512
2017,Financial and Insurance Activities,87009
2017,Real Estate Business,54101
2017,"Professional, Scientific and Technical Activities",73755
2017,Administrative and Support Services,39171
2017,State Administration and Defence; Compulsory Social Security,49789
2017,Education,42423
2017,Health and Social Care,42560
2017,Art; Entertainment and Recreation,39158
2017,Other Services,35218
