Month,Year,ExpenditureCategory,CPI(2006=100)
1,2007,Total,102.2
1,2007,Food and Non-alcoholic Drinks,101.1
1,2007,Food,100.9
1,2007,Bread and Cereal,103.2
1,2007,Meat,97.1
1,2007,Fish,100.3
1,2007,"Milk, Cheese and Eggs",108.3
1,2007,Oils and Fats,93.4
1,2007,Fruit,91.9
1,2007,Vegetables,99
1,2007,"Sugar, Jam, Honey and Chocolate",105.2
1,2007,Other Eatable Prducts,102.9
1,2007,Non-alcoholic Drinks,103.3
1,2007,"Coffee, Tea and Cocoa",105
1,2007,"Mineral Water, Non-alcoholic Drinks and Juices",102.1
1,2007,"Alcoholic Drinks, Tobacco and Narcotics",116.1
1,2007,Alcoholic Drinks,103.8
1,2007,Strong Alcoholic Drinks,104.7
1,2007,Wine,105.7
1,2007,Beer,103.1
1,2007,Tobacco,119.9
1,2007,Clothing and Footwear,103.8
1,2007,Clothing,102.2
1,2007,Clothing Material,100.9
1,2007,Garments,102.2
1,2007,Other Garments,104
1,2007,Clothing Maintenance,103.6
1,2007,Footwear,106.5
1,2007,Footwear Maintenance,101.9
1,2007,"Housing, Water, Energy, Gas and Other Fuels",101.9
1,2007,Real Rent,95.2
1,2007,Rent,95.2
1,2007,Apartment Maintenance,102.4
1,2007,Materials for Apartment Maintenance,104
1,2007,Apartment Maintenance Services,100.8
1,2007,Waterworks and Other Housing Services,101.5
1,2007,Water Supply,101.8
1,2007,Garbage Collection,100.9
1,2007,Waste Water Drainage,101.8
1,2007,"Energy, Gas and Other Fuels",102.5
1,2007,Hosehold Electric Energy,102.7
1,2007,Gas,106.5
1,2007,Liquid Fuels,85.7
1,2007,Solid Fuels,102.3
1,2007,Distric Heating,101.9
1,2007,Household Equipment and Maintenance,100
1,2007,"Furniture, Carpets and Other Rugs",100.5
1,2007,"Furniture, Lightning and Decorative Ornaments",100
1,2007,Carpets and Other Floor Rugs,102.7
1,2007,Textile for Household Use,102.2
1,2007,Household Appliances,99.5
1,2007,Big Household Appliances,98.8
1,2007,Small Electrical Appliances,101.1
1,2007,Household Appliances Maintenance,104.8
1,2007,Dishes and Cutlery,101.8
1,2007,Tools and Other Equipment for House and Garden,100.8
1,2007,Bigger House and Garden Tools and Equipment,99.8
1,2007,Small Tools and Accessories,101.9
1,2007,Funds and Services for Ongoing Maintenance of Dwelling,99.8
1,2007,Dwelling Maintenance Funds,99.7
1,2007,Dwelling Maintenance Services,100.3
1,2007,Health,104.9
1,2007,Medication and Medical Equipment,107
1,2007,Medication,107.1
1,2007,Other Medical Products,104
1,2007,Non-hospital Health Services,100.6
1,2007,Medical Services,103.2
1,2007,Dentist Services,102.3
1,2007,Accompanying Medical Services,95.2
1,2007,Transport,98
1,2007,Procurement of Vehicles,99.4
1,2007,Cars,99.3
1,2007,Bycicles,105.6
1,2007,Vehicles Use and Maintenance,96.1
1,2007,Reserve Parts,99.1
1,2007,Fuels and Lubricants for Passenger Vehicles,93.3
1,2007,Maintenance of Passenger Vehicles,102.1
1,2007,Other Vehicle Related Services,102.8
1,2007,Transport Services,103.2
1,2007,Rail Passenger Transport,100
1,2007,Road Passenger Transport,103.6
1,2007,Plane Passenger Transport,100
1,2007,Communication,101.1
1,2007,Mail Services,100
1,2007,Telephone Equipment,121
1,2007,Telephone and Other Equipment,101
1,2007,Telephone Services,101.2
1,2007,Culture and Recreation,103.2
1,2007,"Audio-Video, Photographic and Computer Equipment",99.3
1,2007,"Sound and Picture Reciving, Capturing and Reproduction Equipment",98.2
1,2007,Photographic and Film Equipment,101.7
1,2007,Computer Equipment,
1,2007,Sound and Picture Capturing Medium,101.3
1,2007,"Audio-Visual, Photographic and Computer Equipment Maintenance",102.9
1,2007,Grearer Lasting Goods for Culture and Recreation,101.3
1,2007,Musical Instruments,101.3
1,2007,"Other Recreational, Garden and Pet-related Equipment",109.8
1,2007,"Toys, Games and Hobbies",111.1
1,2007,"Garden, Seedling and Flower",108.3
1,2007,Pets and Pet-related Means and Services,
1,2007,Vet and Other Pet Services,
1,2007,Cultural and Recreational Services,102.9
1,2007,Recreational Services,100.3
1,2007,Cultural Services,103.2
1,2007,"Newspaper, Books and Office Equipment",103.7
1,2007,Books,109.1
1,2007,Newspapers and Magazines,100
1,2007,Office Equipments,101.8
1,2007,Education,105.6
1,2007,Highschool Education,107.6
1,2007,Higher Education,105.7
1,2007,Other Types of Education,102.6
1,2007,Restaurants and Hotels,103.3
1,2007,"Restaurants, Cafes and Canteens",103.9
1,2007,Restaurants and Cafes,103.9
1,2007,Accommodation Services,100.5
1,2007,Accommodation,100
1,2007,Other Personal Items and Other Services,102.7
1,2007,Personal Care,103
1,2007,Cosmetic and Hairdresser Services,101.8
1,2007,Personal Care Electrical Equipment,98.7
1,2007,Other Personal Care Items,103.5
1,2007,Personal Items,100.9
1,2007,Jewelry and Watches,96.6
1,2007,Other Personal Items,103.6
1,2007,Social Security,105.3
1,2007,Insurance,102.2
1,2007,Dwelling Insurance,105.2
1,2007,Vehicle Insurance,100.8
1,2007,Financial Services,99.9
1,2007,Other Financial Services,99.9
1,2007,Other Services,104.9
1,2008,Total,114
1,2008,Food and Non-alcoholic Drinks,121.4
1,2008,Food,123
1,2008,Bread and Cereal,131.7
1,2008,Meat,102.9
1,2008,Fish,102.8
1,2008,"Milk, Cheese and Eggs",135
1,2008,Oils and Fats,125.2
1,2008,Fruit,110.8
1,2008,Vegetables,170
1,2008,"Sugar, Jam, Honey and Chocolate",102.4
1,2008,Other Eatable Prducts,110.1
1,2008,Non-alcoholic Drinks,108.3
1,2008,"Coffee, Tea and Cocoa",110.4
1,2008,"Mineral Water, Non-alcoholic Drinks and Juices",106.7
1,2008,"Alcoholic Drinks, Tobacco and Narcotics",130
1,2008,Alcoholic Drinks,110.9
1,2008,Strong Alcoholic Drinks,108.1
