Year,Activity,Amount
2007,Total,1095688
2007,Mining,24740
2007,Manufacturing Industry,416352
2007,"Electricity, Gas, Steam and Air Conditioning Supply",28356
2007,Waterworks,35614
2007,Construction,96769
2007,"Wholesale and Retail Trade, Repair of Vehicles",230236
2007,"Transport, Traffic and Storage",104053
2007,Accommodation and Catering Services,25892
2007,Information and Communications,44689
2007,Real Estate Business,4619
2007,"Professional, Scientific and Technical Activities",48153
2007,Administrative and Support Services,36215
2008,Total,1115075
2008,Mining,25439
2008,Manufacturing Industry,403171
2008,"Electricity, Gas, Steam and Air Conditioning Supply",28668
2008,Waterworks,36634
2008,Construction,99559
2008,"Wholesale and Retail Trade, Repair of Vehicles",243628
2008,"Transport, Traffic and Storage",103624
2008,Accommodation and Catering Services,26124
2008,Information and Communications,45959
2008,Real Estate Business,4043
2008,"Professional, Scientific and Technical Activities",57060
2008,Administrative and Support Services,41166
2009,Total,1066124
2009,Mining,23347
2009,Manufacturing Industry,366191
2009,"Electricity, Gas, Steam and Air Conditioning Supply",28495
2009,Waterworks,36033
2009,Construction,91845
2009,"Wholesale and Retail Trade, Repair of Vehicles",240369
2009,"Transport, Traffic and Storage",100887
2009,Accommodation and Catering Services,24393
2009,Information and Communications,47299
2009,Real Estate Business,3826
2009,"Professional, Scientific and Technical Activities",60082
2009,Administrative and Support Services,43357
2010,Total,1024796
2010,Mining,22769
2010,Manufacturing Industry,345719
2010,"Electricity, Gas, Steam and Air Conditioning Supply",28387
2010,Waterworks,36023
2010,Construction,86768
2010,"Wholesale and Retail Trade, Repair of Vehicles",231045
2010,"Transport, Traffic and Storage",97577
2010,Accommodation and Catering Services,23734
2010,Information and Communications,46305
2010,Real Estate Business,3572
2010,"Professional, Scientific and Technical Activities",58861
2010,Administrative and Support Services,44036
2011,Total,1025022
2011,Mining,22571
2011,Manufacturing Industry,340729
2011,"Electricity, Gas, Steam and Air Conditioning Supply",28232
2011,Waterworks,36393
2011,Construction,86943
2011,"Wholesale and Retail Trade, Repair of Vehicles",233543
2011,"Transport, Traffic and Storage",97950
2011,Accommodation and Catering Services,23320
2011,Information and Communications,46977
2011,Real Estate Business,3756
2011,"Professional, Scientific and Technical Activities",60748
2011,Administrative and Support Services,43860
2012,Total,1019738
2012,Mining,23451
2012,Manufacturing Industry,336619
2012,"Electricity, Gas, Steam and Air Conditioning Supply",28391
2012,Waterworks,37554
2012,Construction,83133
2012,"Wholesale and Retail Trade, Repair of Vehicles",227401
2012,"Transport, Traffic and Storage",98334
2012,Accommodation and Catering Services,23516
2012,Information and Communications,47680
2012,Real Estate Business,3899
2012,"Professional, Scientific and Technical Activities",61677
2012,Administrative and Support Services,48083
2013,Total,1013658
2013,Mining,23468
2013,Manufacturing Industry,327325
2013,"Electricity, Gas, Steam and Air Conditioning Supply",28689
2013,Waterworks,38135
2013,Construction,77108
2013,"Wholesale and Retail Trade, Repair of Vehicles",228733
2013,"Transport, Traffic and Storage",97712
2013,Accommodation and Catering Services,23136
2013,Information and Communications,51617
2013,Real Estate Business,4244
2013,"Professional, Scientific and Technical Activities",62194
2013,Administrative and Support Services,51297
2014,Total,1007518
2014,Mining,25822
2014,Manufacturing Industry,322505
2014,"Electricity, Gas, Steam and Air Conditioning Supply",28775
2014,Waterworks,37266
2014,Construction,74208
2014,"Wholesale and Retail Trade, Repair of Vehicles",228579
2014,"Transport, Traffic and Storage",97980
2014,Accommodation and Catering Services,22921
2014,Information and Communications,49696
2014,Real Estate Business,4654
2014,"Professional, Scientific and Technical Activities",61456
2014,Administrative and Support Services,53656
2015,Total,1025273
2015,Mining,25767
2015,Manufacturing Industry,324271
2015,"Electricity, Gas, Steam and Air Conditioning Supply",29366
2015,Waterworks,36987
2015,Construction,72379
2015,"Wholesale and Retail Trade, Repair of Vehicles",233881
2015,"Transport, Traffic and Storage",100122
2015,Accommodation and Catering Services,24472
2015,Information and Communications,50670
2015,Real Estate Business,5393
2015,"Professional, Scientific and Technical Activities",63482
2015,Administrative and Support Services,58483
2016,Total,1064642
2016,Mining,12850
2016,Manufacturing Industry,336075
2016,"Electricity, Gas, Steam and Air Conditioning Supply",41583
2016,Waterworks,36985
2016,Construction,72495
2016,"Wholesale and Retail Trade, Repair of Vehicles",243216
2016,"Transport, Traffic and Storage",101192
2016,Accommodation and Catering Services,26308
2016,Information and Communications,51973
2016,Real Estate Business,5809
2016,"Professional, Scientific and Technical Activities",69075
2016,Administrative and Support Services,67081
2017,Total,1102410
2017,Mining,12767
2017,Manufacturing Industry,356817
2017,"Electricity, Gas, Steam and Air Conditioning Supply",40307
2017,Waterworks,36348
2017,Construction,73795
2017,"Wholesale and Retail Trade, Repair of Vehicles",247488
2017,"Transport, Traffic and Storage",102450
2017,Accommodation and Catering Services,27647
2017,Information and Communications,54081
2017,Real Estate Business,5967
2017,"Professional, Scientific and Technical Activities",71791
2017,Administrative and Support Services,71045
2017,Other Services,1907
2018,Total,1161577
2018,Mining,15386
2018,Manufacturing Industry,377984
2018,"Electricity, Gas, Steam and Air Conditioning Supply",39601
2018,Waterworks,37424
2018,Construction,78006
2018,"Wholesale and Retail Trade, Repair of Vehicles",262438
2018,"Transport, Traffic and Storage",103874
2018,Accommodation and Catering Services,30534
2018,Information and Communications,56796
2018,Real Estate Business,6651
2018,"Professional, Scientific and Technical Activities",74923
2018,Administrative and Support Services,75961
2018,Other Services,1999
