Use,Year,EnergySources,Amount
Primary Energy Production,2010,Total Electrical Energy (GWh),0.0
Primary Energy Production,2010,Anthracite (t),0.0
Primary Energy Production,2010,Other Bituminous Coal (t),0.0
Primary Energy Production,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",37976157.0
Primary Energy Production,2010,Coal Briquette (t),0.0
Primary Energy Production,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",0.0
Primary Energy Production,2010,Coal Tar (t),0.0
Primary Energy Production,2010,Coke (t),0.0
Primary Energy Production,2010,Blast Furnace Gas (thousands of m3),0.0
Primary Energy Production,2010,Crude Oil (t),865839.0
Primary Energy Production,2010,Natural Gas Liquids (t),13626.0
Primary Energy Production,2010,Refined Raw Material (t),0.0
Primary Energy Production,2010,Additives (t),0.0
Primary Energy Production,2010,Other Hydrocarbons (t),0.0
Primary Energy Production,2010,Refinery Gas (t),0.0
Primary Energy Production,2010,LPG (t),0.0
Primary Energy Production,2010,Oil (t),0.0
Primary Energy Production,2010,Unleaded Motor Gasoline (t),0.0
Primary Energy Production,2010,Lead Gasoline (t),0.0
Primary Energy Production,2010,Plane Gasoline (t),0.0
Primary Energy Production,2010,Kerosene Type Jet Engine Fuel (t),0.0
Primary Energy Production,2010,Other Kerosene (t),0.0
Primary Energy Production,2010,Diesel (t),0.0
Primary Energy Production,2010,Fuel Oil and Other Gas Oils (t),0.0
Primary Energy Production,2010,Mazut S≥1% (t),0.0
Primary Energy Production,2010,Mazut S<1% (t),0.0
Primary Energy Production,2010,Special Gasoline (t),0.0
Primary Energy Production,2010,Lubricants (t),0.0
Primary Energy Production,2010,Bitumen (t),0.0
Primary Energy Production,2010,Paraffin wax (t),0.0
Primary Energy Production,2010,Petroleum Coke (t),0.0
Primary Energy Production,2010,Other Petroleum Products (t),0.0
Primary Energy Production,2010,Natural Gas (thousands of m3),387183.0
Primary Energy Production,2010,Firewood (t),2815943.0
Primary Energy Production,2010,Wood Residue and Wood Chips (t),0.0
Primary Energy Production,2010,Wood Briquettes (t),0.0
Primary Energy Production,2010,Wood Pellets (t),0.0
Primary Energy Production,2010,Charcoal (t),0.0
Primary Energy Production,2010,Biogas (thousands of m3),0.0
Import,2010,Total Electrical Energy (GWh),5620.0
Import,2010,Anthracite (t),18056.0
Import,2010,Other Bituminous Coal (t),139920.0
Import,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",324176.0
Import,2010,Coal Briquette (t),1690.0
Import,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",9440.0
Import,2010,Coal Tar (t),8.0
Import,2010,Coke (t),792077.0
Import,2010,Blast Furnace Gas (thousands of m3),0.0
Import,2010,Crude Oil (t),1882666.0
Import,2010,Natural Gas Liquids (t),0.0
Import,2010,Refined Raw Material (t),16044.0
Import,2010,Additives (t),9328.0
Import,2010,Other Hydrocarbons (t),0.0
Import,2010,Refinery Gas (t),0.0
Import,2010,LPG (t),254856.0
Import,2010,Oil (t),243677.0
Import,2010,Unleaded Motor Gasoline (t),0.0
Import,2010,Lead Gasoline (t),0.0
Import,2010,Plane Gasoline (t),644.0
Import,2010,Kerosene Type Jet Engine Fuel (t),5252.0
Import,2010,Other Kerosene (t),145.0
Import,2010,Diesel (t),603050.0
Import,2010,Fuel Oil and Other Gas Oils (t),3392.0
Import,2010,Mazut S≥1% (t),0.0
Import,2010,Mazut S<1% (t),0.0
Import,2010,Special Gasoline (t),4884.0
Import,2010,Lubricants (t),45284.0
Import,2010,Bitumen (t),18680.0
Import,2010,Paraffin wax (t),4816.0
Import,2010,Petroleum Coke (t),78960.0
Import,2010,Other Petroleum Products (t),1136.0
Import,2010,Natural Gas (thousands of m3),1967753.0
Import,2010,Firewood (t),3851.0
Import,2010,Wood Residue and Wood Chips (t),0.0
Import,2010,Wood Briquettes (t),0.0
Import,2010,Wood Pellets (t),0.0
Import,2010,Charcoal (t),0.0
Import,2010,Biogas (thousands of m3),0.0
Export,2010,Total Electrical Energy (GWh),5917.0
Export,2010,Anthracite (t),4434.0
Export,2010,Other Bituminous Coal (t),1568.0
Export,2010,"Sub-bituminous Coal, Brown Coal and Lignite (t)",114242.0
Export,2010,Coal Briquette (t),14.0
Export,2010,"Briquette of Brown Coal and Lignite, Dried Lignite (t)",8710.0
Export,2010,Coal Tar (t),0.0
Export,2010,Coke (t),14755.0
Export,2010,Blast Furnace Gas (thousands of m3),0.0
Export,2010,Crude Oil (t),0.0
Export,2010,Natural Gas Liquids (t),566.0
Export,2010,Refined Raw Material (t),0.0
Export,2010,Additives (t),2989.0
Export,2010,Other Hydrocarbons (t),0.0
Export,2010,Refinery Gas (t),0.0
Export,2010,LPG (t),8408.0
Export,2010,Oil (t),1527.0
Export,2010,Unleaded Motor Gasoline (t),0.0
Export,2010,Lead Gasoline (t),0.0
Export,2010,Plane Gasoline (t),24.0
Export,2010,Kerosene Type Jet Engine Fuel (t),34320.0
Export,2010,Other Kerosene (t),11.0
Export,2010,Diesel (t),35195.0
Export,2010,Fuel Oil and Other Gas Oils (t),2921.0
Export,2010,Mazut S≥1% (t),114005.0
Export,2010,Mazut S<1% (t),20047.0
Export,2010,Special Gasoline (t),23.0
Export,2010,Lubricants (t),10716.0
Export,2010,Bitumen (t),49895.0
Export,2010,Paraffin wax (t),303.0
Export,2010,Petroleum Coke (t),0.0
Export,2010,Other Petroleum Products (t),101332.0
Export,2010,Natural Gas (thousands of m3),0.0
Export,2010,Firewood (t),6965.0
Export,2010,Wood Residue and Wood Chips (t),0.0
