Account,Year,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
GDP,1995,100.0,59587.4,5.3,1816085.2
GDP,1996,100.0,117162.7,6.3,1929846.2
GDP,1997,100.0,151807.1,7.2,2068937.6
GDP,1998,100.0,195179.1,3.3,2138058.3
GDP,1999,100.0,226100.9,-9.4,1936564.2
GDP,2000,100.0,434319.0,6.1,2055310.7
GDP,2001,100.0,867237.6,6.9,2196690.8
GDP,2002,100.0,1102557.3,6.4,2336848.7
GDP,2003,100.0,1294656.0,4.4,2439383.9
GDP,2004,100.0,1526204.7,9.0,2659616.3
GDP,2005,100.0,1846853.2,5.5,2806702.3
GDP,2006,100.0,2181034.6,5.1,2950062.7
GDP,2007,100.0,2523495.5,6.4,3140032.8
GDP,2008,100.0,2908444.7,5.7,3317619.8
GDP,2009,100.0,3052135.5,-2.7,3226990.6
GDP,2010,100.0,3250581.3,0.7,3250581.3
GDP,2011,100.0,3612266.6,2.0,3316772.1
GDP,2012,100.0,3810057.9,-0.7,3294167.0
GDP,2013,100.0,4121200.2,2.9,3389455.2
GDP,2014,100.0,4160548.5,-1.6,3335579.5
GDP,2015,100.0,4312038.1,1.8,3394830.2
GDP,2016,100.0,4521264.7,3.3,3508228.8
GDP,2017,100.0,4754368.4,2.0,3580123.1
GDP,2018,100.0,5068588.5,4.4,3737370.6
GrossValueAdded,1995,93.7,55843.0,5.5,1569156.0
GrossValueAdded,1996,92.9,108814.6,5.8,1660769.8
GrossValueAdded,1997,92.7,140704.4,7.0,1776386.2
GrossValueAdded,1998,91.6,178801.8,3.6,1839668.6
GrossValueAdded,1999,92.3,208656.9,-8.9,1676185.1
GrossValueAdded,2000,92.6,402361.6,5.7,1771674.1
GrossValueAdded,2001,89.0,771513.7,5.8,1874897.7
GrossValueAdded,2002,84.6,932883.2,5.5,1978939.1
GrossValueAdded,2003,84.8,1098478.9,4.1,2059642.7
GrossValueAdded,2004,84.3,1286435.4,8.0,2224448.0
GrossValueAdded,2005,83.0,1533638.9,6.3,2364788.3
GrossValueAdded,2006,83.2,1813646.2,3.9,2457993.1
GrossValueAdded,2007,82.9,2092801.3,5.9,2603729.9
GrossValueAdded,2008,83.6,2431807.9,5.7,2752667.9
GrossValueAdded,2009,83.7,2555322.5,-2.2,2691409.5
GrossValueAdded,2010,83.6,2716989.8,1.0,2716989.8
GrossValueAdded,2011,84.4,3047677.5,2.1,2773323.9
GrossValueAdded,2012,84.4,3215813.3,-0.6,2756077.0
GrossValueAdded,2013,84.6,3487377.2,3.7,2857232.9
GrossValueAdded,2014,84.0,3494671.6,-1.9,2802584.6
GrossValueAdded,2015,83.4,3594788.4,2.3,2866428.3
GrossValueAdded,2016,82.9,3749021.2,3.8,2975392.6
GrossValueAdded,2017,83.0,3946351.8,2.1,3038707.2
GrossValueAdded,2018,82.8,4198729.0,4.6,3177412.5
ProductSubventions,1995,0.2,127.1,5.4,6065.8
ProductSubventions,1996,0.2,221.8,1.4,6150.5
ProductSubventions,1997,0.3,429.8,4.7,6440.7
ProductSubventions,1998,0.3,577.4,-1.9,6316.9
ProductSubventions,1999,0.3,612.0,-0.9,6258.2
ProductSubventions,2000,0.3,1109.0,-10.5,5599.4
ProductSubventions,2001,0.8,6929.7,13.6,6363.0
ProductSubventions,2002,1.0,10508.0,0.2,6377.6
ProductSubventions,2003,0.7,9512.7,-6.7,5953.2
