Year,TransactionType,Amount(mRSD),PctTotal
2005,Total,684961.9,1.0
2005,"Corporate Income or Profit Tax, Including Ownership Profit",14297.5,0.0209
2005,"Individual or Household Income Tax, Includion Ownership Profit",93930.2,0.1371
2005,Other Unmentioned Income Taxes,1177.6,0.0017
2005,Gambling Gain Taxes,287.4,0.0004
2005,Other Ownership Taxes,,
2005,Enterprise Ownership Taxes,,
2005,International Transactions Taxes,,
2005,Non-Corporate Permit Payments,,
2005,Consumption Expenditure Taxes,,
2005,Per Capita Taxes,,
2005,Current Capital Taxes,2557.5,0.0037
2005,Other Current Taxes,10155.88,0.0148
2005,Imputed Social Contributions at Expense of Employer,,
2005,"Real Employer Insurance Contributions, Other Than Pension Insurance",37982.9,0.0555
2005,Real Employer Retirement Contributions,63378.9,0.0925
2005,Real Employer Social Security Contributions,101361.8,0.148
2005,Net Social Contributions,217527.8,0.3176
2005,Other Unmentioned Current Taxes,7598.39,0.0111
2005,Household Social Security Supplements,,
2005,Real Contributions from Households for Insurance Other Than Pension Insurance,42336.1,0.0618
2005,Actual Pension Contributions by Households,73830.0,0.1078
2005,Real Contributions from Households for Social Security,116166.0,0.1696
2005,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2005,Imputed Retirement Contributions Carried by Employer,,
2005,Other Unmentioned Capital Taxes,-33.3,-0.0
2005,Capital Duties,36.9,0.0001
2005,Capital Transfer Taxes,425.2,0.0006
2005,Capital Taxes,428.8,0.0006
2005,Household insurance supplements other than pension insurance,,
2005,"Current Income Taxes, Wealth, Etc.",119848.7,0.175
2005,Income Taxes,109692.8,0.1601
2005,Individual or Household Income Tax Other Than Ownership Profit,93930.2,0.1371
2005,Corporate Income or Profit Taxes Other Than Ownership Profit,14297.5,0.0209
2005,Cash Import Compensation,,
2005,Agricultural Products Import Duties,750.0,0.0011
2005,"Import Taxes, Except VAT and Import Duties",12907.0,0.0188
2005,Import Duties,38723.1,0.0565
2005,Capital and Financial Transactions Taxes,9764.8,0.0143
2005,Tax Stamps,124.3,0.0002
2005,Excise and Consumption Taxes,59769.5,0.0873
2005,Product Taxes Other than VAT and Import Taxes,74168.3,0.1083
2005,Import Monopoly Profit,,
2005,Special Services Tax,,
2005,General Sales Tax,,
2005,Other Special Servies Taxes,327.8,0.0005
2005,Insurance Premiums Taxes,1313.6,0.0019
2005,"Lottery, Chance Games and Gambling Tax",2865.5,0.0042
2005,Household Pension Supplement,,
2005,Entertainment Taxes,2.8,0.0
2005,Use of Fixed Assets Taxes,5074.1,0.0074
2005,"Land, Building and Other Real Estate Taxes",10087.8,0.0147
2005,Other Production Taxes,21841.34,0.0319
2005,Other Unmentioned Product Taxes,,
2005,Export Duties and Refunds,,
2005,Fiscal Monopoly Profit,,
2005,Other Unmentioned Production Taxes,1918.54,0.0028
2005,Sub-compensation of Flat-rate VAT,,
2005,Pollution Taxes,2435.82,0.0036
2005,Business and Professional Licenses,1869.4,0.0027
2005,International Transactions Taxes,,
2005,Wage Fund Taxes,455.8,0.0007
2005,Individual or Household Equity Taxes,,
2005,Ownership Profit Taxes,,
2005,Vehicle Registration Taxes,,
2005,Excise Duties,12156.5,0.0177
2005,General Sales Tax,,
2005,Tax Receipts,467434.1,0.6824
2005,Production and Import Taxes,347156.6,0.5068
2005,Product Taxes,325315.3,0.4749
2005,Value Added Taxes,199516.9,0.2913
2005,"Import Taxes and Duties, Except VAT",51630.1,0.0754
2006,Consumption Expenditure Taxes,,
2006,Current Capital Taxes,2770.1,0.0033
2006,Per Capita Taxes,,
2006,Non-Corporate Permit Payments,,
2006,International Transactions Taxes,,
2006,Enterprise Ownership Taxes,,
2006,Other Ownership Taxes,,
2006,Gambling Gain Taxes,323.2,0.0004
2006,"Corporate Income or Profit Tax, Including Ownership Profit",22069.9,0.0265
2006,"Individual or Household Income Tax, Includion Ownership Profit",116547.9,0.14
2006,Other Current Taxes,12060.82,0.0145
2006,"Current Income Taxes, Wealth, Etc.",152456.0,0.1831
2006,Individual or Household Income Tax Other Than Ownership Profit,116547.9,0.14
2006,Corporate Income or Profit Taxes Other Than Ownership Profit,22069.9,0.0265
2006,Ownership Profit Taxes,,
2006,Other Unmentioned Income Taxes,1454.2,0.0017
2006,Imputed Social Contributions at Expense of Employer,,
2006,Real Employer Social Security Contributions,125288.6,0.1504
2006,Real Employer Retirement Contributions,79465.4,0.0954
2006,Household Pension Supplement,,
2006,Household insurance supplements other than pension insurance,,
2006,Capital Taxes,644.0,0.0008
2006,Capital Transfer Taxes,539.0,0.0006
2006,Capital Duties,36.5,0.0
2006,Other Unmentioned Capital Taxes,68.5,0.0001
2006,Imputed Retirement Contributions Carried by Employer,,
2006,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2006,Real Contributions from Households for Social Security,146985.7,0.1765
2006,Actual Pension Contributions by Households,94841.6,0.1139
2006,Real Contributions from Households for Insurance Other Than Pension Insurance,52144.1,0.0626
2006,Household Social Security Supplements,,
2006,Other Unmentioned Current Taxes,9290.68,0.0112
2006,Net Social Contributions,272274.4,0.327
2006,Individual or Household Equity Taxes,,
2006,"Real Employer Insurance Contributions, Other Than Pension Insurance",45823.3,0.055
2006,Wage Fund Taxes,327.2,0.0004
2006,Income Taxes,140395.2,0.1686
2006,Business and Professional Licenses,194.2,0.0002
2006,Excise and Consumption Taxes,72401.4,0.0869
2006,Tax Stamps,1298.6,0.0016
2006,Capital and Financial Transactions Taxes,12006.5,0.0144
2006,Import Duties,45270.6,0.0544
2006,International Transactions Taxes,,
2006,Agricultural Products Import Duties,549.6,0.0007
2006,Cash Import Compensation,,
2006,Excise Duties,17044.7,0.0205
2006,General Sales Tax,,
2006,Total,832768.5,1.0
2006,Tax Receipts,560494.1,0.673
2006,Production and Import Taxes,407394.1,0.4892
2006,Product Taxes,381631.5,0.4583
2006,Value Added Taxes,227664.1,0.2734
2006,"Import Taxes and Duties, Except VAT",62865.0,0.0755
2006,Product Taxes Other than VAT and Import Taxes,91102.4,0.1094
2006,Import Monopoly Profit,,
2006,"Import Taxes, Except VAT and Import Duties",17594.3,0.0211
2006,General Sales Tax,,
2006,Special Services Tax,,
2006,Sub-compensation of Flat-rate VAT,,
2006,Other Unmentioned Production Taxes,2499.37,0.003
2006,Fiscal Monopoly Profit,,
2006,Export Duties and Refunds,,
2006,Other Unmentioned Product Taxes,,
2006,Other Production Taxes,25762.64,0.0309
2006,Pollution Taxes,4777.82,0.0057
2006,Use of Fixed Assets Taxes,5614.8,0.0067
2006,Vehicle Registration Taxes,,
2006,Entertainment Taxes,4.3,0.0
2006,"Lottery, Chance Games and Gambling Tax",3270.1,0.0039
2006,Insurance Premiums Taxes,1583.1,0.0019
2006,Other Special Servies Taxes,538.6,0.0006
2006,"Land, Building and Other Real Estate Taxes",12349.3,0.0148
2007,Current Capital Taxes,3200.2,0.0034
2007,Per Capita Taxes,,
2007,Consumption Expenditure Taxes,,
2007,Non-Corporate Permit Payments,,
2007,International Transactions Taxes,,
2007,Enterprise Ownership Taxes,,
2007,Other Ownership Taxes,,
2007,"Corporate Income or Profit Tax, Including Ownership Profit",30841.9,0.0327
2007,Other Unmentioned Income Taxes,1673.9,0.0018
2007,"Individual or Household Income Tax, Includion Ownership Profit",113195.5,0.1199
2007,"Current Income Taxes, Wealth, Etc.",159081.7,0.1684
2007,Income Taxes,146126.4,0.1547
2007,Individual or Household Income Tax Other Than Ownership Profit,113195.5,0.1199
2007,Corporate Income or Profit Taxes Other Than Ownership Profit,30841.9,0.0327
2007,Other Current Taxes,12955.32,0.0137
2007,Gambling Gain Taxes,415.2,0.0004
2007,Imputed Social Contributions at Expense of Employer,,
2007,Excise and Consumption Taxes,80695.1,0.0854
2007,Real Employer Retirement Contributions,91078.2,0.0964
2007,Ownership Profit Taxes,,
2007,Household Pension Supplement,,
2007,Household insurance supplements other than pension insurance,,
2007,Capital Taxes,657.1,0.0007
2007,Capital Transfer Taxes,550.3,0.0006
2007,Capital Duties,99.2,0.0001
2007,Other Unmentioned Capital Taxes,7.5,0.0
2007,"Real Employer Insurance Contributions, Other Than Pension Insurance",55056.1,0.0583
2007,Imputed Retirement Contributions Carried by Employer,,
2007,Real Contributions from Households for Social Security,170083.1,0.1801
2007,Actual Pension Contributions by Households,107916.2,0.1143
2007,Real Contributions from Households for Insurance Other Than Pension Insurance,62166.9,0.0658
2007,Household Social Security Supplements,,
2007,Other Unmentioned Current Taxes,9755.08,0.0103
2007,Net Social Contributions,316217.4,0.3348
2007,Real Employer Social Security Contributions,146134.3,0.1547
2007,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2007,Individual or Household Equity Taxes,,
2007,Tax Receipts,628239.4,0.6652
2007,International Transactions Taxes,,
2007,Product Taxes Other than VAT and Import Taxes,99788.7,0.1057
2007,Tax Stamps,1255.8,0.0013
2007,Capital and Financial Transactions Taxes,11701.8,0.0124
2007,Import Duties,57382.1,0.0608
2007,"Import Taxes, Except VAT and Import Duties",19163.9,0.0203
2007,Wage Fund Taxes,285.9,0.0003
2007,Import Monopoly Profit,,
2007,Cash Import Compensation,,
2007,General Sales Tax,,
2007,Total,944456.8,1.0
2007,Production and Import Taxes,468500.6,0.4961
2007,Product Taxes,439039.4,0.4649
2007,Value Added Taxes,262704.7,0.2782
2007,"Import Taxes and Duties, Except VAT",76546.0,0.081
2007,Excise Duties,18743.7,0.0198
2007,Special Services Tax,,
2007,Agricultural Products Import Duties,420.2,0.0004
2007,Other Special Servies Taxes,592.3,0.0006
2007,General Sales Tax,,
2007,Pollution Taxes,5421.09,0.0057
2007,Sub-compensation of Flat-rate VAT,,
2007,Other Unmentioned Production Taxes,2849.61,0.003
2007,Fiscal Monopoly Profit,,
2007,Export Duties and Refunds,,
2007,Other Unmentioned Product Taxes,,
2007,Business and Professional Licenses,250.0,0.0003
2007,"Land, Building and Other Real Estate Taxes",13941.9,0.0148
2007,Use of Fixed Assets Taxes,6712.7,0.0071
2007,Vehicle Registration Taxes,,
2007,Entertainment Taxes,5.4,0.0
2007,"Lottery, Chance Games and Gambling Tax",3754.6,0.004
2007,Insurance Premiums Taxes,1783.1,0.0019
2007,Other Production Taxes,29461.23,0.0312
2008,Current Capital Taxes,3630.2,0.0034
2008,Per Capita Taxes,,
2008,Non-Corporate Permit Payments,,
2008,International Transactions Taxes,,
2008,Enterprise Ownership Taxes,,
2008,Other Ownership Taxes,,
2008,Gambling Gain Taxes,471.0,0.0004
2008,"Current Income Taxes, Wealth, Etc.",186357.0,0.173
2008,"Individual or Household Income Tax, Includion Ownership Profit",132575.2,0.1231
2008,"Corporate Income or Profit Tax, Including Ownership Profit",36894.2,0.0343
2008,Income Taxes,171743.8,0.1594
2008,Individual or Household Income Tax Other Than Ownership Profit,132575.2,0.1231
2008,Corporate Income or Profit Taxes Other Than Ownership Profit,36894.2,0.0343
2008,Ownership Profit Taxes,,
2008,Other Current Taxes,14613.18,0.0136
2008,Other Unmentioned Income Taxes,1803.5,0.0017
2008,Imputed Social Contributions at Expense of Employer,,
2008,Capital Taxes,753.4,0.0007
2008,Real Employer Retirement Contributions,105421.7,0.0979
2008,Individual or Household Equity Taxes,,
2008,Household Pension Supplement,,
2008,Household insurance supplements other than pension insurance,,
2008,Capital Transfer Taxes,551.7,0.0005
2008,Capital Duties,173.2,0.0002
2008,Other Unmentioned Capital Taxes,28.4,0.0
2008,Imputed Retirement Contributions Carried by Employer,,
2008,Imputed Contributions for Insurance at Expense of Employer Other Than Pension Insurance,,
2008,Real Contributions from Households for Social Security,195872.2,0.1818
2008,Actual Pension Contributions by Households,124331.9,0.1154
2008,Real Contributions from Households for Insurance Other Than Pension Insurance,71540.4,0.0664
2008,Household Social Security Supplements,,
2008,Other Unmentioned Current Taxes,10982.96,0.0102
2008,Net Social Contributions,365421.9,0.3393
2008,Real Employer Social Security Contributions,169549.7,0.1574
2008,"Real Employer Insurance Contributions, Other Than Pension Insurance",64128.0,0.0595
2008,Wage Fund Taxes,171.3,0.0002
2008,Consumption Expenditure Taxes,,
2008,Business and Professional Licenses,280.5,0.0003
2008,Excise and Consumption Taxes,86488.5,0.0803
2008,Tax Stamps,1368.9,0.0013
2008,Capital and Financial Transactions Taxes,10833.2,0.0101
2008,Import Duties,63712.3,0.0591
2008,"Import Taxes, Except VAT and Import Duties",23556.3,0.0219
2008,Agricultural Products Import Duties,546.8,0.0005
2008,Product Taxes Other than VAT and Import Taxes,106160.7,0.0986
2008,Cash Import Compensation,,
2008,General Sales Tax,,
2008,Total,1077143.0,1.0
2008,Tax Receipts,711720.8,0.6607
