SchoolYear,Programme,Gender,Students
2009/10,Total,Total,68514
2009/10,General-education HS,Total,16525
2009/10,Agriculture and Good Production,Total,4554
2009/10,Forestry and Wood Processing,Total,946
2009/10,"Geology, Mining and Metallurgy",Total,161
2009/10,Machinery and Metal Processing,Total,7269
2009/10,Electrical Engineering,Total,6596
2009/10,"Chemistry, Graphene and Non-metals",Total,2384
2009/10,Textile and Learher Processing,Total,1151
2009/10,Geodesy and Construction,Total,1958
2009/10,Transportation,Total,2968
2009/10,"Trade, Hotels and Tourism",Total,6969
2009/10,"Economy, Law and Administration",Total,8860
2009/10,Hydrometeorology,Total,44
2009/10,"Culutre, Arts and Public Information",Total,1191
2009/10,Health and Social Welfare,Total,5586
2009/10,Other (Personal Services),Total,1352
2010/11,Total,Total,67728
2010/11,General-education HS,Total,16142
2010/11,Agriculture and Good Production,Total,4280
2010/11,Forestry and Wood Processing,Total,884
2010/11,"Geology, Mining and Metallurgy",Total,201
2010/11,Machinery and Metal Processing,Total,7011
2010/11,Electrical Engineering,Total,6343
2010/11,"Chemistry, Graphene and Non-metals",Total,2434
2010/11,Textile and Learher Processing,Total,977
2010/11,Geodesy and Construction,Total,1888
2010/11,Transportation,Total,3050
2010/11,"Trade, Hotels and Tourism",Total,7074
2010/11,"Economy, Law and Administration",Total,9058
2010/11,Hydrometeorology,Total,52
2010/11,"Culutre, Arts and Public Information",Total,1284
2010/11,Health and Social Welfare,Total,5728
2010/11,Other (Personal Services),Total,1322
2011/12,Total,Total,68225
2011/12,General-education HS,Total,16500
2011/12,Agriculture and Good Production,Total,4155
2011/12,Forestry and Wood Processing,Total,879
2011/12,"Geology, Mining and Metallurgy",Total,206
2011/12,Machinery and Metal Processing,Total,6830
2011/12,Electrical Engineering,Total,6486
2011/12,"Chemistry, Graphene and Non-metals",Total,2548
2011/12,Textile and Learher Processing,Total,1048
2011/12,Geodesy and Construction,Total,1954
2011/12,Transportation,Total,2983
2011/12,"Trade, Hotels and Tourism",Total,6753
2011/12,"Economy, Law and Administration",Total,9447
2011/12,Hydrometeorology,Total,49
2011/12,"Culutre, Arts and Public Information",Total,1340
2011/12,Health and Social Welfare,Total,5780
2011/12,Other (Personal Services),Total,1267
2012/13,Total,Total,68035
2012/13,General-education HS,Total,16355
2012/13,Agriculture and Good Production,Total,4122
2012/13,Forestry and Wood Processing,Total,809
2012/13,"Geology, Mining and Metallurgy",Total,236
2012/13,Machinery and Metal Processing,Total,6521
2012/13,Electrical Engineering,Total,6397
2012/13,"Chemistry, Graphene and Non-metals",Total,2589
2012/13,Textile and Learher Processing,Total,1056
2012/13,Geodesy and Construction,Total,1950
2012/13,Transportation,Total,3096
2012/13,"Trade, Hotels and Tourism",Total,6842
2012/13,"Economy, Law and Administration",Total,9447
2012/13,Hydrometeorology,Total,45
2012/13,"Culutre, Arts and Public Information",Total,1377
2012/13,Health and Social Welfare,Total,5976
2012/13,Other (Personal Services),Total,1217
2013/14,Total,Total,66025
2013/14,General-education HS,Total,16218
2013/14,Agriculture and Good Production,Total,3780
2013/14,Forestry and Wood Processing,Total,767
2013/14,"Geology, Mining and Metallurgy",Total,272
2013/14,Machinery and Metal Processing,Total,5904
2013/14,Electrical Engineering,Total,6278
2013/14,"Chemistry, Graphene and Non-metals",Total,2645
2013/14,Textile and Learher Processing,Total,826
2013/14,Geodesy and Construction,Total,1630
2013/14,Transportation,Total,3157
2013/14,"Trade, Hotels and Tourism",Total,6247
2013/14,"Economy, Law and Administration",Total,9445
2013/14,Hydrometeorology,Total,44
2013/14,"Culutre, Arts and Public Information",Total,1374
2013/14,Health and Social Welfare,Total,6323
2013/14,Other (Personal Services),Total,1115
2014/15,Total,Total,65757
2014/15,General-education HS,Total,16448
2014/15,Agriculture and Good Production,Total,3857
2014/15,Forestry and Wood Processing,Total,794
2014/15,"Geology, Mining and Metallurgy",Total,276
2014/15,Machinery and Metal Processing,Total,5790
2014/15,Electrical Engineering,Total,6110
2014/15,"Chemistry, Graphene and Non-metals",Total,2482
2014/15,Textile and Learher Processing,Total,826
2014/15,Geodesy and Construction,Total,1656
2014/15,Transportation,Total,3258
2014/15,"Trade, Hotels and Tourism",Total,6107
2014/15,"Economy, Law and Administration",Total,9451
2014/15,Hydrometeorology,Total,49
2014/15,"Culutre, Arts and Public Information",Total,1308
2014/15,Health and Social Welfare,Total,6404
2014/15,Other (Personal Services),Total,941
2015/16,Total,Total,64425
2015/16,General-education HS,Total,16387
2015/16,Agriculture and Good Production,Total,3783
2015/16,Forestry and Wood Processing,Total,764
2015/16,"Geology, Mining and Metallurgy",Total,279
2015/16,Machinery and Metal Processing,Total,5392
2015/16,Electrical Engineering,Total,6097
2015/16,"Chemistry, Graphene and Non-metals",Total,2478
2015/16,Textile and Learher Processing,Total,752
2015/16,Geodesy and Construction,Total,1547
2015/16,Transportation,Total,3278
2015/16,"Trade, Hotels and Tourism",Total,5559
2015/16,"Economy, Law and Administration",Total,9680
2015/16,Hydrometeorology,Total,42
2015/16,"Culutre, Arts and Public Information",Total,1234
2015/16,Health and Social Welfare,Total,6345
2015/16,Other (Personal Services),Total,741
2015/16,Military School,Total,67
2016/17,Total,Total,58948
2016/17,General-education HS,Total,15168
2016/17,Agriculture and Good Production,Total,3180
2016/17,Forestry and Wood Processing,Total,614
2016/17,"Geology, Mining and Metallurgy",Total,266
2016/17,Machinery and Metal Processing,Total,4730
2016/17,Electrical Engineering,Total,5504
2016/17,"Chemistry, Graphene and Non-metals",Total,2092
2016/17,Textile and Learher Processing,Total,558
2016/17,Geodesy and Construction,Total,1222
2016/17,Transportation,Total,3069
2016/17,"Trade, Hotels and Tourism",Total,5159
2016/17,"Economy, Law and Administration",Total,8969
2016/17,Hydrometeorology,Total,42
2016/17,"Culutre, Arts and Public Information",Total,1125
2016/17,Health and Social Welfare,Total,6345
2016/17,Other (Personal Services),Total,839
2016/17,Military School,Total,66
2017/18,Total,Total,57478
2017/18,General-education HS,Total,15245
2017/18,Agriculture and Good Production,Total,3052
2017/18,Forestry and Wood Processing,Total,564
2017/18,"Geology, Mining and Metallurgy",Total,283
2017/18,Machinery and Metal Processing,Total,4479
2017/18,Electrical Engineering,Total,5805
