Region,SettlementType,Year,TypeOfIncome,Amount(RSD),StructuralPercentage
State,Total,2006,Total Earnings,35263.0,100.0
State,Total,2006,Earnings in Currency,33012.0,93.6
State,Total,2006,Earnings from Orthodox Work Relations a.k.a. Job,15911.0,45.1
State,Total,2006,Earnings from Unorthodox Work Relations,1089.0,3.1
State,Total,2006,Pensions,8632.0,24.5
State,Total,2006,Social Sequrity Earnings,791.0,2.2
State,Total,2006,"Earnings from Agricultural, Hunting and Fishing Actions",1119.0,3.2
State,Total,2006,Foreign Earnings,569.0,1.6
State,Total,2006,Real Estate Earnings,1315.0,3.7
State,Total,2006,Presents,379.0,1.1
State,Total,2006,Investment Interest,1385.0,3.9
State,Total,2006,Rest,1822.0,5.2
State,Total,2006,Earnings in Labor,2251.0,6.4
State,Total,2006,Other Earnings in Labor,31.0,0.1
State,City,2006,Total Earnings,37395.0,100.0
State,City,2006,Earnings in Currency,36909.0,98.7
State,City,2006,Earnings from Orthodox Work Relations a.k.a. Job,19015.0,51.0
State,City,2006,Earnings from Unorthodox Work Relations,1100.0,2.9
State,City,2006,Pensions,10220.0,27.3
State,City,2006,Social Sequrity Earnings,829.0,2.2
State,City,2006,"Earnings from Agricultural, Hunting and Fishing Actions",157.0,0.4
State,City,2006,Foreign Earnings,447.0,1.2
State,City,2006,Real Estate Earnings,1884.0,5.0
State,City,2006,Presents,329.0,0.9
State,City,2006,Investment Interest,1436.0,3.8
State,City,2006,Rest,1492.0,4.0
State,City,2006,Earnings in Labor,486.0,1.3
State,City,2006,Other Earnings in Labor,24.0,0.1
State,Rest,2006,Total Earnings,32205.0,100.0
State,Rest,2006,Earnings in Currency,27414.0,85.1
State,Rest,2006,Earnings from Orthodox Work Relations a.k.a. Job,11454.0,35.6
State,Rest,2006,Earnings from Unorthodox Work Relations,1073.0,3.3
State,Rest,2006,Pensions,6352.0,19.7
State,Rest,2006,Social Sequrity Earnings,735.0,2.3
State,Rest,2006,"Earnings from Agricultural, Hunting and Fishing Actions",2501.0,7.8
State,Rest,2006,Foreign Earnings,744.0,2.3
State,Rest,2006,Real Estate Earnings,498.0,1.5
State,Rest,2006,Presents,450.0,1.4
State,Rest,2006,Investment Interest,1312.0,4.1
State,Rest,2006,Rest,2295.0,7.1
State,Rest,2006,Earnings in Labor,4791.0,14.9
State,Rest,2006,Other Earnings in Labor,42.0,0.1
Belgrade,Total,2006,Total Earnings,43102.0,100.0
Belgrade,Total,2006,Earnings in Currency,42432.0,98.4
Belgrade,Total,2006,Earnings from Orthodox Work Relations a.k.a. Job,22505.0,52.0
Belgrade,Total,2006,Earnings from Unorthodox Work Relations,1665.0,3.9
Belgrade,Total,2006,Pensions,11221.0,26.0
Belgrade,Total,2006,Social Sequrity Earnings,718.0,1.7
Belgrade,Total,2006,"Earnings from Agricultural, Hunting and Fishing Actions",113.0,0.3
Belgrade,Total,2006,Foreign Earnings,305.0,0.7
Belgrade,Total,2006,Real Estate Earnings,2263.0,5.3
Belgrade,Total,2006,Presents,499.0,1.2
Belgrade,Total,2006,Investment Interest,1475.0,3.4
Belgrade,Total,2006,Rest,1668.0,3.9
Belgrade,Total,2006,Earnings in Labor,670.0,1.6
Belgrade,Total,2006,Other Earnings in Labor,27.0,0.1
Belgrade,City,2006,Total Earnings,42881.0,100.0
Belgrade,City,2006,Earnings in Currency,42721.0,99.6
Belgrade,City,2006,Earnings from Orthodox Work Relations a.k.a. Job,23046.0,53.9
Belgrade,City,2006,Earnings from Unorthodox Work Relations,1601.0,3.7
Belgrade,City,2006,Pensions,12046.0,28.1
Belgrade,City,2006,Social Sequrity Earnings,617.0,1.4
Belgrade,City,2006,"Earnings from Agricultural, Hunting and Fishing Actions",8.0,0.0
Belgrade,City,2006,Foreign Earnings,263.0,0.6
Belgrade,City,2006,Real Estate Earnings,2637.0,6.1
Belgrade,City,2006,Presents,312.0,0.7
Belgrade,City,2006,Investment Interest,1276.0,3.0
Belgrade,City,2006,Rest,915.0,2.1
Belgrade,City,2006,Earnings in Labor,160.0,0.4
Belgrade,City,2006,Other Earnings in Labor,3.0,0.0
Belgrade,Rest,2006,Total Earnings,44211.0,100.0
Belgrade,Rest,2006,Earnings in Currency,40970.0,92.7
Belgrade,Rest,2006,Earnings from Orthodox Work Relations a.k.a. Job,19784.0,44.7
Belgrade,Rest,2006,Earnings from Unorthodox Work Relations,1988.0,4.5
Belgrade,Rest,2006,Pensions,7075.0,16.0
Belgrade,Rest,2006,Social Sequrity Earnings,1219.0,2.8
Belgrade,Rest,2006,"Earnings from Agricultural, Hunting and Fishing Actions",639.0,1.4
Belgrade,Rest,2006,Foreign Earnings,515.0,1.2
Belgrade,Rest,2006,Real Estate Earnings,386.0,0.9
Belgrade,Rest,2006,Presents,1437.0,3.3
Belgrade,Rest,2006,Investment Interest,2473.0,5.6
Belgrade,Rest,2006,Rest,5454.0,12.3
Belgrade,Rest,2006,Earnings in Labor,3241.0,7.3
