Month,Year,Activity,ProductionIndex
1,2000,Total,77.7
1,2000,Coal Exploitation,101.7
1,2000,Oil and Natural Gas Exploitation,96.6
1,2000,Metal Ore Exploitation,121.9
1,2000,Other Types of Mining,21.3
1,2000,Food Products Production,65.9
1,2000,Drink Production,68.7
1,2000,Tobacoo Products Production,54.2
1,2000,Textile Production,270.7
1,2000,Clothing Production,231.9
1,2000,Leather and Leater Item Production,190.0
1,2000,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",262.8
1,2000,Paper and Paper Products Production,57.6
1,2000,Printing and Duplication of Audio and Video Material,83.6
1,2000,Coke and Refined Petroleum Production,29.5
1,2000,Chemicals and Chemical Products Production,60.5
1,2000,Basic Pharmaceutical Products and Remedies Production,30.5
1,2000,Rubber and Plastic Production,42.4
1,2000,Manufacture of Other Non-metallic Minerals Products,87.8
1,2000,Base Metals Production,64.0
1,2000,"Fabricated Metal Products Production, Except Machinery and Equipment",95.8
1,2000,"Computer, Electronic and Optical Products Production",1487.1
1,2000,Electrical Equipment Production,52.1
1,2000,Unmentioned Machinery and Equipment Production,148.3
1,2000,"Motor Vehicles, Trailers and Semi-trailer Production",38.5
1,2000,Other Transport Equipment Production,381.7
1,2000,Furniture Production,105.9
1,2000,Other Manufacturing,137.2
1,2000,Repair and Installation of Machinery Equipment,209.2
1,2000,"Electricity, Gas, Steam and Air Conditioning Supply",107.3
1,2000,B - Mining,86.6
1,2000,C - Manufacturing Industry,68.1
1,2000,"D - Electricity, Gas, Steam and Air Conditioning Supply",107.3
1,2001,Total,86.0
1,2001,Coal Exploitation,93.5
1,2001,Oil and Natural Gas Exploitation,90.2
1,2001,Metal Ore Exploitation,65.6
1,2001,Other Types of Mining,35.6
1,2001,Food Products Production,72.2
1,2001,Drink Production,71.9
1,2001,Tobacoo Products Production,59.5
1,2001,Textile Production,463.4
1,2001,Clothing Production,373.9
1,2001,Leather and Leater Item Production,308.2
1,2001,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",366.5
1,2001,Paper and Paper Products Production,68.0
1,2001,Printing and Duplication of Audio and Video Material,77.9
1,2001,Coke and Refined Petroleum Production,37.3
1,2001,Chemicals and Chemical Products Production,68.9
1,2001,Basic Pharmaceutical Products and Remedies Production,36.1
1,2001,Rubber and Plastic Production,65.4
1,2001,Manufacture of Other Non-metallic Minerals Products,111.4
1,2001,Base Metals Production,82.1
1,2001,"Fabricated Metal Products Production, Except Machinery and Equipment",99.4
1,2001,"Computer, Electronic and Optical Products Production",821.2
1,2001,Electrical Equipment Production,50.5
1,2001,Unmentioned Machinery and Equipment Production,201.7
1,2001,"Motor Vehicles, Trailers and Semi-trailer Production",43.9
1,2001,Other Transport Equipment Production,294.2
1,2001,Furniture Production,144.7
1,2001,Other Manufacturing,227.8
1,2001,Repair and Installation of Machinery Equipment,236.1
1,2001,"Electricity, Gas, Steam and Air Conditioning Supply",101.6
1,2001,B - Mining,78.1
1,2001,C - Manufacturing Industry,81.9
1,2001,"D - Electricity, Gas, Steam and Air Conditioning Supply",101.6
1,2002,Total,81.9
1,2002,Coal Exploitation,104.4
1,2002,Oil and Natural Gas Exploitation,69.6
1,2002,Metal Ore Exploitation,58.8
1,2002,Other Types of Mining,24.0
1,2002,Food Products Production,72.9
1,2002,Drink Production,68.2
1,2002,Tobacoo Products Production,64.0
1,2002,Textile Production,330.1
1,2002,Clothing Production,257.3
1,2002,Leather and Leater Item Production,268.7
1,2002,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",180.5
1,2002,Paper and Paper Products Production,73.0
1,2002,Printing and Duplication of Audio and Video Material,66.1
1,2002,Coke and Refined Petroleum Production,55.9
1,2002,Chemicals and Chemical Products Production,82.3
1,2002,Basic Pharmaceutical Products and Remedies Production,34.1
1,2002,Rubber and Plastic Production,70.6
1,2002,Manufacture of Other Non-metallic Minerals Products,89.2
1,2002,Base Metals Production,56.7
1,2002,"Fabricated Metal Products Production, Except Machinery and Equipment",81.5
1,2002,"Computer, Electronic and Optical Products Production",1376.9
1,2002,Electrical Equipment Production,46.4
1,2002,Unmentioned Machinery and Equipment Production,162.0
1,2002,"Motor Vehicles, Trailers and Semi-trailer Production",49.5
1,2002,Other Transport Equipment Production,412.5
1,2002,Furniture Production,121.0
1,2002,Other Manufacturing,140.9
1,2002,Repair and Installation of Machinery Equipment,254.8
1,2002,"Electricity, Gas, Steam and Air Conditioning Supply",99.8
1,2002,B - Mining,76.1
1,2002,C - Manufacturing Industry,76.9
1,2002,"D - Electricity, Gas, Steam and Air Conditioning Supply",99.8
1,2003,Total,76.8
1,2003,Coal Exploitation,88.7
1,2003,Oil and Natural Gas Exploitation,66.5
1,2003,Metal Ore Exploitation,53.9
1,2003,Other Types of Mining,20.4
1,2003,Food Products Production,67.4
1,2003,Drink Production,64.3
1,2003,Tobacoo Products Production,38.2
1,2003,Textile Production,238.0
1,2003,Clothing Production,173.8
1,2003,Leather and Leater Item Production,186.5
1,2003,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",116.3
1,2003,Paper and Paper Products Production,56.4
1,2003,Printing and Duplication of Audio and Video Material,67.4
1,2003,Coke and Refined Petroleum Production,70.7
1,2003,Chemicals and Chemical Products Production,79.4
1,2003,Basic Pharmaceutical Products and Remedies Production,44.8
1,2003,Rubber and Plastic Production,62.8
1,2003,Manufacture of Other Non-metallic Minerals Products,73.2
1,2003,Base Metals Production,70.0
1,2003,"Fabricated Metal Products Production, Except Machinery and Equipment",77.0
1,2003,"Computer, Electronic and Optical Products Production",1315.0
1,2003,Electrical Equipment Production,40.4
1,2003,Unmentioned Machinery and Equipment Production,123.7
1,2003,"Motor Vehicles, Trailers and Semi-trailer Production",29.9
1,2003,Other Transport Equipment Production,342.7
1,2003,Furniture Production,138.2
1,2003,Other Manufacturing,100.5
1,2003,Repair and Installation of Machinery Equipment,233.0
1,2003,"Electricity, Gas, Steam and Air Conditioning Supply",99.7
1,2003,B - Mining,66.4
1,2003,C - Manufacturing Industry,70.6
1,2003,"D - Electricity, Gas, Steam and Air Conditioning Supply",99.7
1,2004,Total,79.6
1,2004,Coal Exploitation,99.8
1,2004,Oil and Natural Gas Exploitation,62.0
1,2004,Metal Ore Exploitation,37.1
1,2004,Other Types of Mining,25.2
1,2004,Food Products Production,68.4
1,2004,Drink Production,86.6
1,2004,Tobacoo Products Production,76.4
1,2004,Textile Production,170.8
1,2004,Clothing Production,118.4
1,2004,Leather and Leater Item Production,155.3
1,2004,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",96.6
1,2004,Paper and Paper Products Production,51.5
1,2004,Printing and Duplication of Audio and Video Material,74.3
1,2004,Coke and Refined Petroleum Production,92.4
1,2004,Chemicals and Chemical Products Production,91.7
1,2004,Basic Pharmaceutical Products and Remedies Production,40.2
1,2004,Rubber and Plastic Production,59.1
1,2004,Manufacture of Other Non-metallic Minerals Products,64.5
1,2004,Base Metals Production,80.0
1,2004,"Fabricated Metal Products Production, Except Machinery and Equipment",91.4
1,2004,"Computer, Electronic and Optical Products Production",335.5
1,2004,Electrical Equipment Production,46.6
1,2004,Unmentioned Machinery and Equipment Production,137.4
1,2004,"Motor Vehicles, Trailers and Semi-trailer Production",30.6
1,2004,Other Transport Equipment Production,597.2
1,2004,Furniture Production,109.7
1,2004,Other Manufacturing,86.9
1,2004,Repair and Installation of Machinery Equipment,242.3
1,2004,"Electricity, Gas, Steam and Air Conditioning Supply",113.0
1,2004,B - Mining,76.8
1,2004,C - Manufacturing Industry,72.8
1,2004,"D - Electricity, Gas, Steam and Air Conditioning Supply",113.0
1,2005,Total,82.1
1,2005,Coal Exploitation,106.6
1,2005,Oil and Natural Gas Exploitation,59.5
1,2005,Metal Ore Exploitation,57.3
1,2005,Other Types of Mining,36.0
1,2005,Food Products Production,72.3
1,2005,Drink Production,63.9
1,2005,Tobacoo Products Production,23.3
1,2005,Textile Production,154.5
1,2005,Clothing Production,122.8
1,2005,Leather and Leater Item Production,128.7
1,2005,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",139.5
1,2005,Paper and Paper Products Production,49.0
1,2005,Printing and Duplication of Audio and Video Material,53.5
1,2005,Coke and Refined Petroleum Production,105.2
1,2005,Chemicals and Chemical Products Production,102.4
1,2005,Basic Pharmaceutical Products and Remedies Production,47.0
1,2005,Rubber and Plastic Production,80.8
1,2005,Manufacture of Other Non-metallic Minerals Products,70.5
1,2005,Base Metals Production,139.2
1,2005,"Fabricated Metal Products Production, Except Machinery and Equipment",82.0
1,2005,"Computer, Electronic and Optical Products Production",437.8
1,2005,Electrical Equipment Production,34.7
1,2005,Unmentioned Machinery and Equipment Production,102.8
1,2005,"Motor Vehicles, Trailers and Semi-trailer Production",38.5
1,2005,Other Transport Equipment Production,213.3
1,2005,Furniture Production,82.2
1,2005,Other Manufacturing,68.4
1,2005,Repair and Installation of Machinery Equipment,218.1
1,2005,"Electricity, Gas, Steam and Air Conditioning Supply",111.7
1,2005,B - Mining,83.9
1,2005,C - Manufacturing Industry,75.2
1,2005,"D - Electricity, Gas, Steam and Air Conditioning Supply",111.7
1,2006,Total,82.4
1,2006,Coal Exploitation,109.2
1,2006,Oil and Natural Gas Exploitation,56.4
1,2006,Metal Ore Exploitation,43.2
1,2006,Other Types of Mining,32.9
1,2006,Food Products Production,77.0
1,2006,Drink Production,65.4
1,2006,Tobacoo Products Production,50.1
1,2006,Textile Production,175.0
1,2006,Clothing Production,109.9
1,2006,Leather and Leater Item Production,138.5
1,2006,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",114.0
1,2006,Paper and Paper Products Production,47.6
1,2006,Printing and Duplication of Audio and Video Material,64.8
1,2006,Coke and Refined Petroleum Production,103.9
1,2006,Chemicals and Chemical Products Production,86.7
1,2006,Basic Pharmaceutical Products and Remedies Production,51.1
1,2006,Rubber and Plastic Production,83.4
1,2006,Manufacture of Other Non-metallic Minerals Products,69.3
1,2006,Base Metals Production,129.1
1,2006,"Fabricated Metal Products Production, Except Machinery and Equipment",79.0
1,2006,"Computer, Electronic and Optical Products Production",201.9
1,2006,Electrical Equipment Production,37.1
1,2006,Unmentioned Machinery and Equipment Production,144.4
1,2006,"Motor Vehicles, Trailers and Semi-trailer Production",38.0
1,2006,Other Transport Equipment Production,205.4
1,2006,Furniture Production,117.1
1,2006,Other Manufacturing,51.1
1,2006,Repair and Installation of Machinery Equipment,181.1
1,2006,"Electricity, Gas, Steam and Air Conditioning Supply",110.3
1,2006,B - Mining,83.4
1,2006,C - Manufacturing Industry,75.9
1,2006,"D - Electricity, Gas, Steam and Air Conditioning Supply",110.3
1,2007,Total,92.8
1,2007,Coal Exploitation,112.7
1,2007,Oil and Natural Gas Exploitation,58.2
1,2007,Metal Ore Exploitation,51.7
1,2007,Other Types of Mining,73.0
