Month,Year,Exports(mUSD),Imports(mUSD),NetExports(mUSD)
1,2004,157.0,575.5,-418.5
1,2005,271.1,450.9,-179.79999999999995
1,2006,342.8,670.2,-327.40000000000003
1,2007,542.4,1138.1,-595.6999999999999
1,2008,696.0,1588.3,-892.3
1,2009,483.2,1046.9,-563.7
1,2010,571.7,1053.7,-482.0
1,2011,723.8,1288.1,-564.3
1,2012,710.7,1314.7,-604.0
1,2013,875.2,1392.7,-517.5
1,2014,999.7,1349.7,-350.0
1,2015,907.0,1210.5,-303.5
1,2016,926.1,1145.2,-219.10000000000002
1,2017,999.2,1293.5,-294.29999999999995
1,2018,1407.5,1803.8,-396.29999999999995
1,2019,1365.6,1914.3,-548.7
2,2004,205.3,724.1,-518.8
2,2005,315.2,663.6,-348.40000000000003
2,2006,390.9,871.3,-480.4
2,2007,565.7,1205.8,-640.0999999999999
2,2008,853.6,1880.4,-1026.8000000000002
2,2009,524.5,1214.4,-689.9000000000001
2,2010,648.7,1235.0,-586.3
2,2011,886.8,1419.6,-532.8
2,2012,683.0,1423.7,-740.7
2,2013,979.5,1517.7,-538.2
2,2014,1196.5,1589.4,-392.9000000000001
2,2015,1038.7,1416.3,-377.5999999999999
2,2016,1184.3,1488.8,-304.5
2,2017,1217.7,1549.8,-332.0999999999999
2,2018,1510.4,2013.5,-503.0999999999999
2,2019,1533.4,2067.6,-534.1999999999998
3,2004,260.3,918.4,-658.0999999999999
3,2005,389.0,886.7,-497.70000000000005
3,2006,508.6,1120.4,-611.8000000000001
3,2007,715.2,1605.2,-890.0
3,2008,957.3,2101.6,-1144.3
3,2009,659.6,1415.9,-756.3000000000001
3,2010,809.9,1475.2,-665.3000000000001
3,2011,1077.5,1866.0,-788.5
3,2012,1025.4,1872.8,-847.3999999999999
3,2013,1101.8,1738.9,-637.1000000000001
3,2014,1416.5,1836.6,-420.0999999999999
3,2015,1180.4,1638.6,-458.1999999999998
3,2016,1312.6,1679.4,-366.8000000000002
3,2017,1528.6,1961.3,-432.70000000000005
3,2018,1795.7,2419.9,-624.2
3,2019,1760.0,2333.3,-573.3000000000002
4,2004,249.4,774.8,-525.4
4,2005,372.4,879.3,-506.9
4,2006,439.5,973.8,-534.3
4,2007,668.4,1471.4,-803.0000000000001
4,2008,969.4,2277.6,-1308.1999999999998
4,2009,608.9,1239.4,-630.5000000000001
4,2010,774.9,1306.6,-531.6999999999999
4,2011,1035.5,1652.7,-617.2
4,2012,944.9,1576.7,-631.8000000000001
4,2013,1219.2,1780.9,-561.7
4,2014,1373.5,1841.0,-467.5
4,2015,1106.6,1447.6,-341.0
4,2016,1314.4,1601.3,-286.89999999999986
4,2017,1335.3,1607.5,-272.20000000000005
4,2018,1608.9,2162.2,-553.2999999999997
4,2019,1592.8,2214.8,-622.0000000000002
5,2004,242.3,857.6,-615.3
5,2005,377.3,900.7,-523.4000000000001
5,2006,548.6,1145.8,-597.1999999999999
5,2007,717.0,1510.6,-793.5999999999999
5,2008,1063.2,2255.3,-1192.1000000000001
5,2009,708.8,1166.0,-457.20000000000005
5,2010,784.3,1260.3,-476.0
5,2011,965.8,1711.1,-745.3
5,2012,958.1,1652.8,-694.6999999999999
