,Year,CountryId,Sector,Exports(tUSD),Imports(tUSD),NetExports(tUSD)
0,2004,Total,Food and Livestock,641392.0,624482.5,16909.5
1,2004,Total,Drinks and Tobacco,55802.2,161663.0,-105860.8
2,2004,Total,Ineadible Raw Materials Excluding Fuel,195490.4,332391.0,-136900.6
3,2004,Total,"Mineral Fuels, Lubricants and Related Products",90841.0,1633635.3,-1542794.3
4,2004,Total,"Animal and Vegetable Oils, Fats and Waxes",58874.2,15708.4,43165.799999999996
5,2004,Total,Chemical Products and Similar,387122.8,1409608.3,-1022485.5
6,2004,Total,Manufactured Products Classified by Material,1184861.5,2088717.1,-903855.6000000001
7,2004,Total,Machines and Transport Devices,377716.3,3381880.6,-3004164.3000000003
8,2004,Total,Other Finished Products,482468.1,1026073.2,-543605.1
9,2004,Total,Undeclared Products within SITC Rev. 4,48788.8,75756.8,-26968.0
10,2004,AD,Food and Livestock,0.0,27.0,-27.0
11,2004,AD,Chemical Products and Similar,0.0,0.1,-0.1
12,2004,AD,Manufactured Products Classified by Material,0.0,4.8,-4.8
13,2004,AD,Machines and Transport Devices,0.0,24.4,-24.4
14,2004,AD,Other Finished Products,0.0,120.8,-120.8
15,2004,AE,Food and Livestock,249.7,122.6,127.1
16,2004,AE,Ineadible Raw Materials Excluding Fuel,1049.4,1.3,1048.1000000000001
17,2004,AE,"Mineral Fuels, Lubricants and Related Products",0.0,38.9,-38.9
18,2004,AE,Chemical Products and Similar,59.1,135.5,-76.4
19,2004,AE,Manufactured Products Classified by Material,499.4,522.1,-22.700000000000045
20,2004,AE,Machines and Transport Devices,1752.0,502.4,1249.6
21,2004,AE,Other Finished Products,337.5,175.3,162.2
22,2004,AE,Undeclared Products within SITC Rev. 4,33.9,1.0,32.9
23,2004,AF,Chemical Products and Similar,73.3,0.0,73.3
24,2004,AF,Machines and Transport Devices,89.9,0.0,89.9
25,2004,AF,Other Finished Products,0.5,0.4,0.09999999999999998
26,2004,AF,Undeclared Products within SITC Rev. 4,15.3,0.0,15.3
27,2004,AG,Food and Livestock,15.3,120.7,-105.4
28,2004,AG,"Mineral Fuels, Lubricants and Related Products",5.8,0.0,5.8
29,2004,AG,Chemical Products and Similar,0.0,13.2,-13.2
30,2004,AG,Manufactured Products Classified by Material,0.0,0.1,-0.1
31,2004,AG,Machines and Transport Devices,32.6,0.5,32.1
32,2004,AL,Food and Livestock,11542.0,17.6,11524.4
33,2004,AL,Drinks and Tobacco,19.8,0.0,19.8
34,2004,AL,Ineadible Raw Materials Excluding Fuel,19.8,121.6,-101.8
35,2004,AL,"Mineral Fuels, Lubricants and Related Products",43.5,41.7,1.7999999999999972
36,2004,AL,"Animal and Vegetable Oils, Fats and Waxes",28.6,0.0,28.6
37,2004,AL,Chemical Products and Similar,1399.8,28.0,1371.8
38,2004,AL,Manufactured Products Classified by Material,1588.6,54.4,1534.1999999999998
39,2004,AL,Machines and Transport Devices,730.8,36.0,694.8
40,2004,AL,Other Finished Products,526.1,316.0,210.10000000000002
41,2004,AL,Undeclared Products within SITC Rev. 4,11.9,0.0,11.9
42,2004,AM,Food and Livestock,5.2,0.0,5.2
43,2004,AM,Chemical Products and Similar,354.7,0.0,354.7
44,2004,AM,Manufactured Products Classified by Material,1.1,0.0,1.1
45,2004,AM,Machines and Transport Devices,110.0,0.0,110.0
46,2004,AM,Other Finished Products,4.9,3.4,1.5000000000000004
47,2004,AM,Undeclared Products within SITC Rev. 4,4.7,0.0,4.7
48,2004,AN,Machines and Transport Devices,0.1,0.0,0.1
49,2004,AO,Manufactured Products Classified by Material,1.5,0.0,1.5
50,2004,AO,Machines and Transport Devices,2.4,0.0,2.4
51,2004,AO,Other Finished Products,476.1,0.0,476.1
52,2004,AO,Undeclared Products within SITC Rev. 4,593.9,0.0,593.9
53,2004,AR,Food and Livestock,1.1,35555.0,-35553.9
54,2004,AR,Drinks and Tobacco,0.0,648.7,-648.7
55,2004,AR,Ineadible Raw Materials Excluding Fuel,0.2,137.2,-137.0
