Metric,Year,Value
Passengers Carried (Thousands),2001,97489
Passenger Kilometers (Millions),2001,6213
Goods Transported (Tons),2001,20458
Ton Kilometers (Millions),2001,4207
Passengers Carried (Thousands),2002,97406
Passenger Kilometers (Millions),2002,6124
Goods Transported (Tons),2014,24709
Ton Kilometers (Millions),2014,7612
Passengers Carried (Thousands),2015,65767
Passenger Kilometers (Millions),2015,7752
Goods Transported (Tons),2015,26554
Ton Kilometers (Millions),2015,8014
Passengers Carried (Thousands),2013,72047
Passenger Kilometers (Millions),2013,6695
Goods Transported (Tons),2013,24348
Ton Kilometers (Millions),2013,7505
Passengers Carried (Thousands),2014,70200
Passenger Kilometers (Millions),2014,7130
Goods Transported (Tons),2011,24706
Ton Kilometers (Millions),2011,7252
Passengers Carried (Thousands),2012,77235
Passenger Kilometers (Millions),2012,6606
Goods Transported (Tons),2012,22343
Ton Kilometers (Millions),2012,6752
Passengers Carried (Thousands),2010,79844
Passenger Kilometers (Millions),2010,6317
Goods Transported (Tons),2010,25794
Ton Kilometers (Millions),2010,7092
Passengers Carried (Thousands),2011,78096
Passenger Kilometers (Millions),2011,6592
Goods Transported (Tons),2008,30368
Ton Kilometers (Millions),2008,7876
Passengers Carried (Thousands),2009,86624
Passenger Kilometers (Millions),2009,6227
Goods Transported (Tons),2009,22697
Ton Kilometers (Millions),2009,5542
Passengers Carried (Thousands),2007,84647
Passenger Kilometers (Millions),2007,6539
Goods Transported (Tons),2007,27040
Ton Kilometers (Millions),2007,8378
Passengers Carried (Thousands),2008,86866
Passenger Kilometers (Millions),2008,6747
Goods Transported (Tons),2005,28269
Ton Kilometers (Millions),2005,6829
Passengers Carried (Thousands),2006,92110
Passenger Kilometers (Millions),2006,7416
Goods Transported (Tons),2006,28737
Ton Kilometers (Millions),2006,7787
Passengers Carried (Thousands),2004,89136
Passenger Kilometers (Millions),2004,5883
Goods Transported (Tons),2004,23541
Ton Kilometers (Millions),2004,5603
Passengers Carried (Thousands),2005,89019
Passenger Kilometers (Millions),2005,6754
Goods Transported (Tons),2002,21990
Ton Kilometers (Millions),2002,4683
Passengers Carried (Thousands),2003,91019
Passenger Kilometers (Millions),2003,5950
Goods Transported (Tons),2003,21700
Ton Kilometers (Millions),2003,4809
