Year,Activity,Amount(tRSD)ValueAdded,Amount(tRSD)PersonnelCost,NetValueAdded(tRSD)
2007,Total,966,565,401
2008,Total,1003,638,365
2009,Total,1089,679,410
2010,Total,1204,729,475
2011,Total,1297,794,503
2012,Total,1435,862,573
2013,Total,1477,907,570
2014,Total,1519,939,580
2015,Total,1593,966,627
2016,Total,1733,1000,733
2017,Total,1810,1049,761
2018,Total,1838,1105,733
2007,Mining,1003,770,233
2008,Mining,1187,864,323
2009,Mining,1480,993,487
2010,Mining,1698,1042,656
2011,Mining,2019,1200,819
2012,Mining,2168,1399,769
2013,Mining,2398,1498,900
2014,Mining,2393,1539,854
2015,Mining,2241,1693,548
2016,Mining,2049,1380,669
2017,Mining,2684,1386,1298
2018,Mining,1938,1466,472
2007,Manufacturing Industry,787,517,270
2008,Manufacturing Industry,889,586,303
2009,Manufacturing Industry,928,634,294
2010,Manufacturing Industry,1118,687,431
2011,Manufacturing Industry,1209,752,457
2012,Manufacturing Industry,1421,802,619
2013,Manufacturing Industry,1430,840,590
2014,Manufacturing Industry,1497,845,652
2015,Manufacturing Industry,1562,894,668
2016,Manufacturing Industry,1723,913,810
2017,Manufacturing Industry,1839,965,874
2018,Manufacturing Industry,1852,998,854
2007,"Electricity, Gas, Steam and Air Conditioning Supply",1910,911,999
2008,"Electricity, Gas, Steam and Air Conditioning Supply",2224,1034,1190
2009,"Electricity, Gas, Steam and Air Conditioning Supply",2685,1114,1571
2010,"Electricity, Gas, Steam and Air Conditioning Supply",2656,1199,1457
2011,"Electricity, Gas, Steam and Air Conditioning Supply",3067,1371,1696
2012,"Electricity, Gas, Steam and Air Conditioning Supply",3035,1525,1510
2013,"Electricity, Gas, Steam and Air Conditioning Supply",4364,1591,2773
2014,"Electricity, Gas, Steam and Air Conditioning Supply",4161,1636,2525
2015,"Electricity, Gas, Steam and Air Conditioning Supply",4611,1363,3248
2016,"Electricity, Gas, Steam and Air Conditioning Supply",4777,1869,2908
2017,"Electricity, Gas, Steam and Air Conditioning Supply",4494,2033,2461
2018,"Electricity, Gas, Steam and Air Conditioning Supply",4402,2031,2371
2007,Waterworks,745,618,127
2008,Waterworks,751,617,134
2009,Waterworks,861,670,191
