Year,Region,Gender,AgeGroup,Amount
2011,State,Total,-1,7253969
2011,Belgrade,Total,-1,1654540
2011,Voyvodina/North,Total,-1,1939079
2011,Central and West,Total,-1,2040831
2011,South and East,Total,-1,1619519
2011,State,Total,0,66146
2011,Belgrade,Total,0,17290
2011,Voyvodina/North,Total,0,17699
2011,Central and West,Total,0,18174
2011,South and East,Total,0,12983
2011,State,Total,1,67176
2011,Belgrade,Total,1,16702
2011,Voyvodina/North,Total,1,18040
2011,Central and West,Total,1,18815
2011,South and East,Total,1,13619
2011,State,Total,2,66736
2011,Belgrade,Total,2,16221
2011,Voyvodina/North,Total,2,17902
2011,Central and West,Total,2,18926
2011,South and East,Total,2,13687
2011,State,Total,3,66147
2011,Belgrade,Total,3,15498
2011,Voyvodina/North,Total,3,17843
2011,Central and West,Total,3,18897
2011,South and East,Total,3,13909
2011,State,Total,4,68278
2011,Belgrade,Total,4,15449
2011,Voyvodina/North,Total,4,18381
2011,Central and West,Total,4,19759
2011,South and East,Total,4,14689
2011,State,Total,5,69961
2011,Belgrade,Total,5,15515
2011,Voyvodina/North,Total,5,18762
2011,Central and West,Total,5,20515
2011,South and East,Total,5,15169
2011,State,Total,6,71251
2011,Belgrade,Total,6,15390
2011,Voyvodina/North,Total,6,18909
2011,Central and West,Total,6,20789
2011,South and East,Total,6,16163
2011,State,Total,7,72349
2011,Belgrade,Total,7,15464
2011,Voyvodina/North,Total,7,19222
2011,Central and West,Total,7,21313
2011,South and East,Total,7,16350
2011,State,Total,8,71967
2011,Belgrade,Total,8,15475
2011,Voyvodina/North,Total,8,19210
2011,Central and West,Total,8,20808
2011,South and East,Total,8,16474
2011,State,Total,9,72515
2011,Belgrade,Total,9,15417
2011,Voyvodina/North,Total,9,19402
2011,Central and West,Total,9,21020
2011,South and East,Total,9,16676
2011,State,Total,10,67855
2011,Belgrade,Total,10,14218
2011,Voyvodina/North,Total,10,18043
2011,Central and West,Total,10,19954
2011,South and East,Total,10,15640
2011,State,Total,11,68066
2011,Belgrade,Total,11,14240
2011,Voyvodina/North,Total,11,17985
2011,Central and West,Total,11,19890
2011,South and East,Total,11,15951
2011,State,Total,12,70087
2011,Belgrade,Total,12,14466
2011,Voyvodina/North,Total,12,18826
2011,Central and West,Total,12,20334
2011,South and East,Total,12,16461
2011,State,Total,13,73015
2011,Belgrade,Total,13,14999
2011,Voyvodina/North,Total,13,19580
2011,Central and West,Total,13,21329
2011,South and East,Total,13,17107
2011,State,Total,14,76894
2011,Belgrade,Total,14,15856
2011,Voyvodina/North,Total,14,20721
2011,Central and West,Total,14,22304
2011,South and East,Total,14,18013
2011,State,Total,15,81076
2011,Belgrade,Total,15,16619
2011,Voyvodina/North,Total,15,22007
2011,Central and West,Total,15,23325
2011,South and East,Total,15,19125
2011,State,Total,16,80886
2011,Belgrade,Total,16,16759
2011,Voyvodina/North,Total,16,21833
2011,Central and West,Total,16,23266
2011,South and East,Total,16,19028
2011,State,Total,17,82658
2011,Belgrade,Total,17,16827
2011,Voyvodina/North,Total,17,22401
2011,Central and West,Total,17,24008
2011,South and East,Total,17,19422
2011,State,Total,18,82824
2011,Belgrade,Total,18,17365
2011,Voyvodina/North,Total,18,22227
2011,Central and West,Total,18,23833
2011,South and East,Total,18,19399
2011,State,Total,19,86104
2011,Belgrade,Total,19,18184
2011,Voyvodina/North,Total,19,23497
2011,Central and West,Total,19,24982
2011,South and East,Total,19,19441
2011,State,Total,20,85954
2011,Belgrade,Total,20,18168
2011,Voyvodina/North,Total,20,23406
2011,Central and West,Total,20,25010
2011,South and East,Total,20,19370
2011,State,Total,21,86540
2011,Belgrade,Total,21,18684
2011,Voyvodina/North,Total,21,23456
2011,Central and West,Total,21,24835
2011,South and East,Total,21,19565
2011,State,Total,22,91736
2011,Belgrade,Total,22,20091
2011,Voyvodina/North,Total,22,25352
2011,Central and West,Total,22,26070
2011,South and East,Total,22,20223
2011,State,Total,23,92861
2011,Belgrade,Total,23,21045
2011,Voyvodina/North,Total,23,25458
2011,Central and West,Total,23,26183
2011,South and East,Total,23,20175
2011,State,Total,24,92571
2011,Belgrade,Total,24,21711
2011,Voyvodina/North,Total,24,25324
2011,Central and West,Total,24,25645
2011,South and East,Total,24,19891
2011,State,Total,25,94761
2011,Belgrade,Total,25,22916
2011,Voyvodina/North,Total,25,26027
2011,Central and West,Total,25,25825
2011,South and East,Total,25,19993
2011,State,Total,26,99052
2011,Belgrade,Total,26,25152
2011,Voyvodina/North,Total,26,27177
2011,Central and West,Total,26,26591
2011,South and East,Total,26,20132
2011,State,Total,27,99395
2011,Belgrade,Total,27,26028
2011,Voyvodina/North,Total,27,27181
2011,Central and West,Total,27,26030
2011,South and East,Total,27,20156
2011,State,Total,28,97997
2011,Belgrade,Total,28,26049
2011,Voyvodina/North,Total,28,26706
2011,Central and West,Total,28,25437
2011,South and East,Total,28,19805
2011,State,Total,29,97574
2011,Belgrade,Total,29,25938
2011,Voyvodina/North,Total,29,26822
2011,Central and West,Total,29,25227
2011,South and East,Total,29,19587
2011,State,Total,30,99435
2011,Belgrade,Total,30,27042
2011,Voyvodina/North,Total,30,26958
2011,Central and West,Total,30,25562
2011,South and East,Total,30,19873
2011,State,Total,31,99349
2011,Belgrade,Total,31,26692
2011,Voyvodina/North,Total,31,27034
2011,Central and West,Total,31,25748
2011,South and East,Total,31,19875
2011,State,Total,32,100637
2011,Belgrade,Total,32,26589
2011,Voyvodina/North,Total,32,27817
2011,Central and West,Total,32,26088
2011,South and East,Total,32,20143
2011,State,Total,33,101225
2011,Belgrade,Total,33,26471
2011,Voyvodina/North,Total,33,27183
2011,Central and West,Total,33,26997
2011,South and East,Total,33,20574
2011,State,Total,34,102262
2011,Belgrade,Total,34,26197
2011,Voyvodina/North,Total,34,27451
2011,Central and West,Total,34,27331
2011,South and East,Total,34,21283
2011,State,Total,35,102072
2011,Belgrade,Total,35,25369
2011,Voyvodina/North,Total,35,27306
2011,Central and West,Total,35,27508
2011,South and East,Total,35,21889
2011,State,Total,36,99058
2011,Belgrade,Total,36,24693
2011,Voyvodina/North,Total,36,26147
2011,Central and West,Total,36,26925
2011,South and East,Total,36,21293
2011,State,Total,37,98965
2011,Belgrade,Total,37,24511
2011,Voyvodina/North,Total,37,26245
2011,Central and West,Total,37,26827
2011,South and East,Total,37,21382
2011,State,Total,38,96208
2011,Belgrade,Total,38,23135
2011,Voyvodina/North,Total,38,25509
2011,Central and West,Total,38,26039
2011,South and East,Total,38,21525
2011,State,Total,39,96180
2011,Belgrade,Total,39,23262
2011,Voyvodina/North,Total,39,25723
2011,Central and West,Total,39,26328
2011,South and East,Total,39,20867
2011,State,Total,40,93999
2011,Belgrade,Total,40,22649
2011,Voyvodina/North,Total,40,24799
2011,Central and West,Total,40,25888
2011,South and East,Total,40,20663
2011,State,Total,41,94992
2011,Belgrade,Total,41,22284
2011,Voyvodina/North,Total,41,25101
2011,Central and West,Total,41,26368
2011,South and East,Total,41,21239
2011,State,Total,42,94351
2011,Belgrade,Total,42,21521
2011,Voyvodina/North,Total,42,25834
2011,Central and West,Total,42,26087
2011,South and East,Total,42,20909
2011,State,Total,43,95028
2011,Belgrade,Total,43,21430
2011,Voyvodina/North,Total,43,26142
2011,Central and West,Total,43,26386
2011,South and East,Total,43,21070
2011,State,Total,44,94948
2011,Belgrade,Total,44,21126
2011,Voyvodina/North,Total,44,26789
2011,Central and West,Total,44,25978
2011,South and East,Total,44,21055
2011,State,Total,45,97568
2011,Belgrade,Total,45,21674
2011,Voyvodina/North,Total,45,27243
2011,Central and West,Total,45,27136
2011,South and East,Total,45,21515
2011,State,Total,46,94526
2011,Belgrade,Total,46,20986
2011,Voyvodina/North,Total,46,26637
2011,Central and West,Total,46,26362
2011,South and East,Total,46,20541
2011,State,Total,47,98492
2011,Belgrade,Total,47,21847
2011,Voyvodina/North,Total,47,27497
2011,Central and West,Total,47,27858
2011,South and East,Total,47,21290
2011,State,Total,48,99888
2011,Belgrade,Total,48,21911
2011,Voyvodina/North,Total,48,27872
2011,Central and West,Total,48,28597
2011,South and East,Total,48,21508
2011,State,Total,49,103875
2011,Belgrade,Total,49,22724
2011,Voyvodina/North,Total,49,29191
2011,Central and West,Total,49,29500
2011,South and East,Total,49,22460
2011,State,Total,50,107184
2011,Belgrade,Total,50,22994
2011,Voyvodina/North,Total,50,29976
2011,Central and West,Total,50,31153
2011,South and East,Total,50,23061
2011,State,Total,51,103635
2011,Belgrade,Total,51,22561
2011,Voyvodina/North,Total,51,28797
2011,Central and West,Total,51,30025
2011,South and East,Total,51,22252
2011,State,Total,52,105311
2011,Belgrade,Total,52,23089
2011,Voyvodina/North,Total,52,28165
2011,Central and West,Total,52,31547
2011,South and East,Total,52,22510
2011,State,Total,53,104098
2011,Belgrade,Total,53,22802
2011,Voyvodina/North,Total,53,29071
2011,Central and West,Total,53,29943
2011,South and East,Total,53,22282
2011,State,Total,54,113402
2011,Belgrade,Total,54,25369
2011,Voyvodina/North,Total,54,31837
2011,Central and West,Total,54,32563
2011,South and East,Total,54,23633
2011,State,Total,55,117670
2011,Belgrade,Total,55,26265
2011,Voyvodina/North,Total,55,32011
2011,Central and West,Total,55,34026
2011,South and East,Total,55,25368
2011,State,Total,56,124557
2011,Belgrade,Total,56,27980
2011,Voyvodina/North,Total,56,32559
2011,Central and West,Total,56,37252
2011,South and East,Total,56,26766
2011,State,Total,57,121835
2011,Belgrade,Total,57,27443
2011,Voyvodina/North,Total,57,31878
2011,Central and West,Total,57,35465
2011,South and East,Total,57,27049
2011,State,Total,58,125086
2011,Belgrade,Total,58,28356
2011,Voyvodina/North,Total,58,31932
2011,Central and West,Total,58,37005
2011,South and East,Total,58,27793
2011,State,Total,59,107791
2011,Belgrade,Total,59,24917
2011,Voyvodina/North,Total,59,28255
2011,Central and West,Total,59,30347
2011,South and East,Total,59,24272
2011,State,Total,60,118297
2011,Belgrade,Total,60,27332
2011,Voyvodina/North,Total,60,30552
2011,Central and West,Total,60,33275
2011,South and East,Total,60,27138
2011,State,Total,61,110277
2011,Belgrade,Total,61,25751
2011,Voyvodina/North,Total,61,29350
2011,Central and West,Total,61,30478
2011,South and East,Total,61,24698
2011,State,Total,62,105844
2011,Belgrade,Total,62,24271
2011,Voyvodina/North,Total,62,27828
2011,Central and West,Total,62,27967
2011,South and East,Total,62,25778
2011,State,Total,63,97160
2011,Belgrade,Total,63,22606
2011,Voyvodina/North,Total,63,26560
2011,Central and West,Total,63,25032
2011,South and East,Total,63,22962
2011,State,Total,64,81729
2011,Belgrade,Total,64,19026
2011,Voyvodina/North,Total,64,22887
2011,Central and West,Total,64,22016
2011,South and East,Total,64,17800
2011,State,Total,65,62104
2011,Belgrade,Total,65,13718
2011,Voyvodina/North,Total,65,16374
2011,Central and West,Total,65,17502
2011,South and East,Total,65,14510
2011,State,Total,66,67932
2011,Belgrade,Total,66,13889
2011,Voyvodina/North,Total,66,17026
2011,Central and West,Total,66,19310
2011,South and East,Total,66,17707
2011,State,Total,67,67907
2011,Belgrade,Total,67,13660
2011,Voyvodina/North,Total,67,17846
2011,Central and West,Total,67,19263
2011,South and East,Total,67,17138
2011,State,Total,68,70189
2011,Belgrade,Total,68,14532
2011,Voyvodina/North,Total,68,18793
2011,Central and West,Total,68,18537
2011,South and East,Total,68,18327
2011,State,Total,69,72944
2011,Belgrade,Total,69,15846
2011,Voyvodina/North,Total,69,19252
2011,Central and West,Total,69,20076
2011,South and East,Total,69,17770
2011,State,Total,70,76519
2011,Belgrade,Total,70,16406
2011,Voyvodina/North,Total,70,19472
2011,Central and West,Total,70,22178
2011,South and East,Total,70,18463
2011,State,Total,71,73010
2011,Belgrade,Total,71,15970
2011,Voyvodina/North,Total,71,19431
2011,Central and West,Total,71,20771
2011,South and East,Total,71,16838
2011,State,Total,72,72391
2011,Belgrade,Total,72,15798
2011,Voyvodina/North,Total,72,18970
2011,Central and West,Total,72,20607
2011,South and East,Total,72,17016
2011,State,Total,73,71450
