Year,Q,Action,%NominalGDP,NominalValue(mRSD),RealGrowthRatePct(LastYear=100),"RealValue(mRSD,2010=100)"
1995,Q1,"A - Agriculture, Forestry and Fishing",19.3,2220.9,,36796.8
1995,Q1,"B-E - Manufacturing, Mining and Other Industries",28.0,3226.6,,109893.5
1995,Q1,F - Construction,6.7,772.5,,11311.8
1995,Q1,J - Informing and Communication,1.6,182.8,,5430.6
1995,Q1,K - Financial and Insurance Activities,1.5,173.5,,14769.3
1995,Q1,L - Real Estate Business,10.6,1225.1,,52040.4
1995,Q1,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.7,309.3,,10557.3
1995,Q1,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.3,1529.7,,61190.4
1995,Q1,R-T - Other Service Activities,1.8,213.3,,8525.5
1995,Q1,Total,97.5,11249.6,,358816.2
1995,Q1,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.1,1395.8,,48947.9
1995,Q2,"A - Agriculture, Forestry and Fishing",14.7,1984.8,,41722.3
1995,Q2,"B-E - Manufacturing, Mining and Other Industries",30.5,4134.0,,122357.9
1995,Q2,F - Construction,6.4,870.9,,11503.2
1995,Q2,J - Informing and Communication,1.8,243.5,,6139.7
1995,Q2,K - Financial and Insurance Activities,1.5,198.8,,14691.8
1995,Q2,L - Real Estate Business,9.3,1263.6,,61056.5
1995,Q2,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.0,403.7,,13116.3
1995,Q2,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.4,1683.0,,67204.7
1995,Q2,R-T - Other Service Activities,2.2,294.7,,11181.4
1995,Q2,Total,94.4,12774.8,,400979.1
1995,Q2,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.5,1697.7,,54577.9
1995,Q3,"A - Agriculture, Forestry and Fishing",16.2,2474.7,,51490.1
1995,Q3,"B-E - Manufacturing, Mining and Other Industries",26.4,4041.6,,104691.2
1995,Q3,F - Construction,6.5,994.0,,11556.2
1995,Q3,J - Informing and Communication,1.9,290.4,,6323.0
1995,Q3,K - Financial and Insurance Activities,1.4,221.5,,13467.0
1995,Q3,L - Real Estate Business,8.4,1281.9,,61947.8
1995,Q3,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",3.1,468.9,,13815.1
1995,Q3,"O-Q - Public Administration, Defense, Education and Health, Social Care",13.0,1982.3,,69825.9
1995,Q3,R-T - Other Service Activities,2.4,371.1,,11975.5
1995,Q3,Total,92.2,14084.6,,397388.7
1995,Q3,"Wholesale and Retail trade, Transport and Storage, Lodging and Catering Services",12.8,1958.3,,54191.3
1995,Q4,"A - Agriculture, Forestry and Fishing",16.1,3101.2,,49060.9
1995,Q4,"B-E - Manufacturing, Mining and Other Industries",29.5,5675.2,,117489.9
1995,Q4,F - Construction,6.2,1201.7,,11825.3
1995,Q4,J - Informing and Communication,1.7,329.7,,6193.4
1995,Q4,K - Financial and Insurance Activities,1.4,265.1,,12830.3
1995,Q4,L - Real Estate Business,7.0,1347.1,,62655.4
1995,Q4,"M-N - Professional, Scientific, Technical, Administrative and Other Ancillary Activities",2.8,537.2,,13944.9
1995,Q4,"O-Q - Public Administration, Defense, Education and Health, Social Care",12.3,2373.0,,70281.8
1995,Q4,R-T - Other Service Activities,2.3,441.4,,11321.9
1995,Q4,Total,92.2,17734.1,,411972.0
