VehicleType,Year,Amount
Motorcycles,2006,20380.0
Passenger Cars,2006,1511837.0
Buses,2006,9312.0
Trucks,2006,126045.0
Working Purpose Vehicles,2006,1864.0
Towing Vehicles,2006,128017.0
Trailers,2006,103859.0
Motorcycles,2007,24897.0
Passenger Cars,2007,1476642.0
Buses,2007,8887.0
Trucks,2007,129877.0
Working Purpose Vehicles,2007,1582.0
Towing Vehicles,2007,7263.0
Trailers,2007,26389.0
Motorcycles,2008,31803.0
Passenger Cars,2008,1486608.0
Buses,2008,8557.0
Trucks,2008,139331.0
Working Purpose Vehicles,2008,1590.0
Towing Vehicles,2008,7387.0
Trailers,2008,27686.0
Motorcycles,2009,34497.0
Passenger Cars,2009,1641351.0
Buses,2009,8853.0
Trucks,2009,148252.0
Working Purpose Vehicles,2009,1434.0
Towing Vehicles,2009,7356.0
Trailers,2009,28596.0
Motorcycles,2010,37946.0
Passenger Cars,2010,1565550.0
Buses,2010,8034.0
Trucks,2010,151687.0
Working Purpose Vehicles,2010,999.0
Towing Vehicles,2010,11535.0
Trailers,2010,34017.0
Motorcycles,2011,39135.0
Passenger Cars,2011,1677510.0
Buses,2011,8805.0
Trucks,2011,159455.0
Working Purpose Vehicles,2011,2736.0
Towing Vehicles,2011,12443.0
Trailers,2011,32862.0
