Region,SettlementType,Year,TypeOfSpending,Amount(RSD),StructuralPercentage
State,Total,2006,Total,33910.0,100.0
State,Total,2006,Food and Non-Alcoholic Beverages,13241.0,39.0
State,Total,2006,"Alcohol, Tobacco and Narcotics",1478.0,4.4
State,Total,2006,Clothing and Footwear,2160.0,6.4
State,Total,2006,"Housing, Water, Energy, Gas, etc.",5458.0,16.1
State,Total,2006,Home Equipment and Maintenance,1677.0,4.9
State,Total,2006,Health,1382.0,4.1
State,Total,2006,Transport,3596.0,10.6
State,Total,2006,Communication,1081.0,3.2
State,Total,2006,Culture and Recreation,1643.0,4.8
State,Total,2006,Education,362.0,1.1
State,Total,2006,Hotels and Restaurants,459.0,1.4
State,Total,2006,Other Items and Services,1373.0,4.0
State,City,2006,Total,34691.0,100.0
State,City,2006,Food and Non-Alcoholic Beverages,12976.0,37.4
State,City,2006,"Alcohol, Tobacco and Narcotics",1402.0,4.0
State,City,2006,Clothing and Footwear,2392.0,6.9
State,City,2006,"Housing, Water, Energy, Gas, etc.",5674.0,16.4
State,City,2006,Home Equipment and Maintenance,1724.0,5.0
State,City,2006,Health,1451.0,4.2
State,City,2006,Transport,3390.0,9.8
State,City,2006,Communication,1193.0,3.4
State,City,2006,Culture and Recreation,2028.0,5.8
State,City,2006,Education,450.0,1.3
State,City,2006,Hotels and Restaurants,496.0,1.4
State,City,2006,Other Items and Services,1515.0,4.4
State,Rest,2006,Total,32785.0,100.0
State,Rest,2006,Food and Non-Alcoholic Beverages,13621.0,41.6
State,Rest,2006,"Alcohol, Tobacco and Narcotics",1590.0,4.8
State,Rest,2006,Clothing and Footwear,1821.0,5.6
State,Rest,2006,"Housing, Water, Energy, Gas, etc.",5147.0,15.7
State,Rest,2006,Home Equipment and Maintenance,1615.0,4.9
State,Rest,2006,Health,1280.0,3.9
State,Rest,2006,Transport,3894.0,11.9
State,Rest,2006,Communication,921.0,2.8
State,Rest,2006,Culture and Recreation,1088.0,3.3
State,Rest,2006,Education,231.0,0.7
State,Rest,2006,Hotels and Restaurants,408.0,1.2
State,Rest,2006,Other Items and Services,1169.0,3.6
Belgrade,Total,2006,Total,38039.0,100.0
Belgrade,Total,2006,Food and Non-Alcoholic Beverages,13908.0,36.6
Belgrade,Total,2006,"Alcohol, Tobacco and Narcotics",1593.0,4.2
Belgrade,Total,2006,Clothing and Footwear,2697.0,7.1
Belgrade,Total,2006,"Housing, Water, Energy, Gas, etc.",5380.0,14.1
Belgrade,Total,2006,Home Equipment and Maintenance,1705.0,4.5
Belgrade,Total,2006,Health,1801.0,4.7
Belgrade,Total,2006,Transport,4472.0,11.8
Belgrade,Total,2006,Communication,1287.0,3.4
Belgrade,Total,2006,Culture and Recreation,2414.0,6.3
Belgrade,Total,2006,Education,566.0,1.5
Belgrade,Total,2006,Hotels and Restaurants,437.0,1.1
Belgrade,Total,2006,Other Items and Services,1779.0,4.7
Belgrade,City,2006,Total,37295.0,100.0
Belgrade,City,2006,Food and Non-Alcoholic Beverages,13444.0,35.9
Belgrade,City,2006,"Alcohol, Tobacco and Narcotics",1476.0,4.0
Belgrade,City,2006,Clothing and Footwear,2779.0,7.5
Belgrade,City,2006,"Housing, Water, Energy, Gas, etc.",5362.0,14.4
Belgrade,City,2006,Home Equipment and Maintenance,1649.0,4.4
Belgrade,City,2006,Health,1830.0,4.9
Belgrade,City,2006,Transport,4137.0,11.1
Belgrade,City,2006,Communication,1282.0,3.4
Belgrade,City,2006,Culture and Recreation,2542.0,6.8
Belgrade,City,2006,Education,579.0,1.6
Belgrade,City,2006,Hotels and Restaurants,434.0,1.2
Belgrade,City,2006,Other Items and Services,1781.0,4.8
Belgrade,Rest,2006,Total,41778.0,100.0
Belgrade,Rest,2006,Food and Non-Alcoholic Beverages,16241.0,39.0
Belgrade,Rest,2006,"Alcohol, Tobacco and Narcotics",2184.0,5.2
Belgrade,Rest,2006,Clothing and Footwear,2285.0,5.5
Belgrade,Rest,2006,"Housing, Water, Energy, Gas, etc.",5472.0,13.1
Belgrade,Rest,2006,Home Equipment and Maintenance,1979.0,4.7
Belgrade,Rest,2006,Health,1664.0,4.0
Belgrade,Rest,2006,Transport,6162.0,14.7
Belgrade,Rest,2006,Communication,1311.0,3.1
Belgrade,Rest,2006,Culture and Recreation,1771.0,4.2
Belgrade,Rest,2006,Education,495.0,1.2
Belgrade,Rest,2006,Hotels and Restaurants,451.0,1.1
Belgrade,Rest,2006,Other Items and Services,1763.0,4.2
Voyvodina/North,Total,2006,Total,33175.0,100.0
Voyvodina/North,Total,2006,Food and Non-Alcoholic Beverages,12279.0,37.1
Voyvodina/North,Total,2006,"Alcohol, Tobacco and Narcotics",1350.0,4.1
Voyvodina/North,Total,2006,Clothing and Footwear,1749.0,5.3
Voyvodina/North,Total,2006,"Housing, Water, Energy, Gas, etc.",6123.0,18.3
Voyvodina/North,Total,2006,Home Equipment and Maintenance,1787.0,5.4
Voyvodina/North,Total,2006,Health,1284.0,3.9
Voyvodina/North,Total,2006,Transport,3588.0,10.8
Voyvodina/North,Total,2006,Communication,1049.0,3.2
Voyvodina/North,Total,2006,Culture and Recreation,1618.0,4.9
Voyvodina/North,Total,2006,Education,229.0,0.7
Voyvodina/North,Total,2006,Hotels and Restaurants,498.0,1.5
Voyvodina/North,Total,2006,Other Items and Services,1621.0,4.8
Voyvodina/North,City,2006,Total,33756.0,100.0
