Year,Activity,Amount(mRSD)ValueAdded,Amount(mRSD)PersonnelCost,NetValueAdded(mRSD)
2007,Total,1058491,584875,473616
2007,Mining,24810,18922,5888
2007,Manufacturing Industry,327516,209613,117903
2007,"Electricity, Gas, Steam and Air Conditioning Supply",54166,25785,28381
2007,Waterworks,26549,21801,4748
2007,Construction,116649,50463,66186
2007,"Wholesale and Retail Trade, Repair of Vehicles",222165,100487,121678
2007,"Transport, Traffic and Storage",93774,61782,31992
2007,Accommodation and Catering Services,13251,11615,1636
2007,Information and Communications,92427,35084,57343
2007,Real Estate Business,3578,2635,943
2007,"Professional, Scientific and Technical Activities",59488,31768,27720
2007,Administrative and Support Services,24119,14921,9198
2008,Total,1118447,671736,446711
2008,Mining,30198,21810,8388
2008,Manufacturing Industry,358259,229780,128479
2008,"Electricity, Gas, Steam and Air Conditioning Supply",63758,29564,34194
2008,Waterworks,27504,22404,5100
2008,Construction,107625,60268,47357
2008,"Wholesale and Retail Trade, Repair of Vehicles",224452,122271,102181
2008,"Transport, Traffic and Storage",88691,70209,18482
2008,Accommodation and Catering Services,12817,11728,1089
2008,Information and Communications,107973,40115,67858
2008,Real Estate Business,6590,2775,3815
2008,"Professional, Scientific and Technical Activities",61494,41755,19739
2008,Administrative and Support Services,29085,19058,10027
2009,Total,1161389,680695,480694
2009,Mining,34561,22968,11593
2009,Manufacturing Industry,339693,224818,114875
2009,"Electricity, Gas, Steam and Air Conditioning Supply",76514,31625,44889
2009,Waterworks,31015,23904,7111
2009,Construction,104990,57319,47671
2009,"Wholesale and Retail Trade, Repair of Vehicles",220377,126527,93850
2009,"Transport, Traffic and Storage",120231,72992,47239
2009,Accommodation and Catering Services,12219,11005,1214
2009,Information and Communications,112384,42666,69718
2009,Real Estate Business,11052,2684,8368
2009,"Professional, Scientific and Technical Activities",64812,43881,20931
2009,Administrative and Support Services,33540,20306,13234
2010,Total,1234113,699655,534458
2010,Mining,38670,23492,15178
2010,Manufacturing Industry,386582,229170,157412
2010,"Electricity, Gas, Steam and Air Conditioning Supply",75392,33774,41618
2010,Waterworks,33412,24178,9234
2010,Construction,106213,57391,48822
2010,"Wholesale and Retail Trade, Repair of Vehicles",239387,129234,110153
2010,"Transport, Traffic and Storage",106035,75236,30799
2010,Accommodation and Catering Services,12617,11105,1512
2010,Information and Communications,125002,45354,79648
2010,Real Estate Business,11649,2315,9334
2010,"Professional, Scientific and Technical Activities",63864,46013,17851
2010,Administrative and Support Services,35291,22393,12898
2011,Total,1329364,761486,567878
2011,Mining,45575,26823,18752
2011,Manufacturing Industry,411792,247060,164732
2011,"Electricity, Gas, Steam and Air Conditioning Supply",86583,38257,48326
2011,Waterworks,37611,27086,10525
2011,Construction,118452,63727,54725
2011,"Wholesale and Retail Trade, Repair of Vehicles",258537,138215,120322
2011,"Transport, Traffic and Storage",104278,79851,24427
2011,Accommodation and Catering Services,13273,11737,1536
2011,Information and Communications,134167,51228,82939
2011,Real Estate Business,10877,2620,8257
2011,"Professional, Scientific and Technical Activities",71591,50267,21324
2011,Administrative and Support Services,36628,24617,12011
2012,Total,1462835,821154,641681
2012,Mining,50848,32493,18355
2012,Manufacturing Industry,478203,260331,217872
2012,"Electricity, Gas, Steam and Air Conditioning Supply",86157,42585,43572
2012,Waterworks,40224,29721,10503
2012,Construction,105511,66209,39302
2012,"Wholesale and Retail Trade, Repair of Vehicles",301071,145946,155125
2012,"Transport, Traffic and Storage",106161,86641,19520
2012,Accommodation and Catering Services,15017,12856,2161
2012,Information and Communications,146939,54783,92156
2012,Real Estate Business,13843,3054,10789
2012,"Professional, Scientific and Technical Activities",78199,57384,20815
2012,Administrative and Support Services,40662,29151,11511
2013,Total,1497295,855750,641545
2013,Mining,56283,34807,21476
2013,Manufacturing Industry,468101,264217,203884
2013,"Electricity, Gas, Steam and Air Conditioning Supply",125199,44701,80498
2013,Waterworks,40682,31422,9260
2013,Construction,106063,65684,40379
2013,"Wholesale and Retail Trade, Repair of Vehicles",277489,152955,124534
2013,"Transport, Traffic and Storage",124067,90825,33242
2013,Accommodation and Catering Services,15770,12668,3102
2013,Information and Communications,152373,60944,91429
2013,Real Estate Business,12742,3462,9280
2013,"Professional, Scientific and Technical Activities",77623,60655,16968
2013,Administrative and Support Services,40903,33410,7493
2014,Total,1530342,880440,649902
2014,Mining,61796,39369,22427
2014,Manufacturing Industry,482690,262454,220236
2014,"Electricity, Gas, Steam and Air Conditioning Supply",119745,46053,73692
2014,Waterworks,41954,31689,10265
2014,Construction,104347,69260,35087
2014,"Wholesale and Retail Trade, Repair of Vehicles",290270,159229,131041
2014,"Transport, Traffic and Storage",129804,92844,36960
2014,Accommodation and Catering Services,15971,11934,4037
2014,Information and Communications,147923,66274,81649
2014,Real Estate Business,14749,3908,10841
2014,"Professional, Scientific and Technical Activities",79455,62281,17174
2014,Administrative and Support Services,41638,35145,6493
2015,Total,1633706,924455,709251
2015,Mining,57755,43224,14531
2015,Manufacturing Industry,506646,279525,227121
2015,"Electricity, Gas, Steam and Air Conditioning Supply",135404,39118,96286
2015,Waterworks,43822,31482,12340
2015,Construction,114181,69679,44502
2015,"Wholesale and Retail Trade, Repair of Vehicles",308170,167603,140567
2015,"Transport, Traffic and Storage",149089,96923,52166
2015,Accommodation and Catering Services,18139,13311,4828
2015,Information and Communications,150135,73193,76942
2015,Real Estate Business,16891,4449,12442
2015,"Professional, Scientific and Technical Activities",88091,66159,21932
2015,Administrative and Support Services,45383,39789,5594
2016,Total,1844631,993113,851518
2016,Mining,26332,17377,8955
2016,Manufacturing Industry,578998,296102,282896
2016,"Electricity, Gas, Steam and Air Conditioning Supply",198634,76414,122220
