Year,Activity,ProductionIndex
2000,Total,92.0
2000,Coal Exploitation,88.3
2000,Oil and Natural Gas Exploitation,94.1
2000,Metal Ore Exploitation,106.6
2000,Other Types of Mining,80.0
2000,Food Products Production,87.8
2000,Drink Production,94.5
2000,Tobacoo Products Production,61.5
2000,Textile Production,417.9
2000,Clothing Production,363.0
2000,Leather and Leater Item Production,331.8
2000,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",447.5
2000,Paper and Paper Products Production,82.9
2000,Printing and Duplication of Audio and Video Material,84.0
2000,Coke and Refined Petroleum Production,36.5
2000,Chemicals and Chemical Products Production,74.3
2000,Basic Pharmaceutical Products and Remedies Production,40.8
2000,Rubber and Plastic Production,73.4
2000,Manufacture of Other Non-metallic Minerals Products,152.4
2000,Base Metals Production,86.2
2000,"Fabricated Metal Products Production, Except Machinery and Equipment",135.6
2000,"Computer, Electronic and Optical Products Production",1672.6
2000,Electrical Equipment Production,60.4
2000,Unmentioned Machinery and Equipment Production,220.7
2000,"Motor Vehicles, Trailers and Semi-trailer Production",63.3
2000,Other Transport Equipment Production,621.9
2000,Furniture Production,146.9
2000,Other Manufacturing,167.0
2000,Repair and Installation of Machinery Equipment,310.2
2000,"Electricity, Gas, Steam and Air Conditioning Supply",83.4
2000,B - Mining,89.6
2000,C - Manufacturing Industry,94.8
2000,"D - Electricity, Gas, Steam and Air Conditioning Supply",83.4
2001,Total,92.2
2001,Coal Exploitation,82.6
2001,Oil and Natural Gas Exploitation,77.5
2001,Metal Ore Exploitation,65.9
2001,Other Types of Mining,75.9
2001,Food Products Production,85.7
2001,Drink Production,92.5
2001,Tobacoo Products Production,56.3
2001,Textile Production,446.7
2001,Clothing Production,377.3
2001,Leather and Leater Item Production,337.1
2001,"Wood and Wood, Cork, Straw and Rod - Related Products Production, Except Furniture",365.3
2001,Paper and Paper Products Production,82.8
2001,Printing and Duplication of Audio and Video Material,76.9
2001,Coke and Refined Petroleum Production,58.6
2001,Chemicals and Chemical Products Production,86.3
2001,Basic Pharmaceutical Products and Remedies Production,42.3
2001,Rubber and Plastic Production,83.6
2001,Manufacture of Other Non-metallic Minerals Products,158.4
2001,Base Metals Production,77.3
2001,"Fabricated Metal Products Production, Except Machinery and Equipment",116.2
2001,"Computer, Electronic and Optical Products Production",1402.2
