Year,Exports(mUSD),Imports(mUSD),Net Exports(mUSD)
1997,2531.0,4503.0,-1972.0
1998,2723.0,4475.0,-1752.0
1999,1369.0,2881.0,-1512.0
2000,1558.0,3330.0,-1772.0
2001,1721.0,4261.0,-2540.0
2002,2075.0,5614.0,-3539.0
2003,2755.0,7473.0,-4718.0
2004,3523.0,10750.0,-7227.0
2005,4482.0,10455.0,-5979.0
2006,6428.0,13170.0,-6744.0
2007,8825.0,18968.0,-10143.0
2008,10974.0,24042.0,-13069.0
2009,8344.0,15807.0,-7463.0
2010,9795.0,16471.0,-6676.0
2011,11779.0,19862.0,-8083.0
2012,11226.0,18923.0,-7697.0
2013,14610.0,20550.0,-5940.0
2014,14845.0,20196.0,-5351.0
2015,13376.0,17875.0,-4499.0
2016,14883.0,18899.0,-4016.0
2017,16997.0,21920.0,-4923.0
2018,19239.2,25882.8,-6643.6
2019,19629.8,26730.3,-7100.5
